"annee","moislabel","mois","ipc","serie_autre"
2018,1/1/2018,1,102.028846153846,102.651269259032
2018,2/1/2018,2,103.057692307692,103.686391849807
2018,3/1/2018,3,101.451923076923,102.070826684766
2018,4/1/2018,4,101.471153846154,102.090174770575
2018,5/1/2018,5,100.201923076923,100.813201107188
2018,6/1/2018,6,99.1730769230769,99.7780785164129
2018,7/1/2018,7,101.153846153846,101.770931354728
2018,8/1/2018,8,103.442307692308,104.073353565985
2018,9/1/2018,9,104.144230769231,104.779558698009
2018,10/1/2018,10,103.480769230769,104.112049737603
2018,11/1/2018,11,102.807692307692,103.434866734292
2018,12/1/2018,12,103.471153846154,104.102375694698
2019,1/1/2019,1,102.653846153846,103.280082047821
2019,2/1/2019,2,102.980769230769,103.589651420763
2019,3/1/2019,3,102.307692307692,102.95116458907
2019,4/1/2019,4,103.35,103.35
2019,5/1/2019,5,103.39,103.39
2019,6/1/2019,6,103.82,103.82
2019,7/1/2019,7,104.09,104.09
2019,8/1/2019,8,106.07996823,106.07996823
2019,9/1/2019,9,106.51878776,106.51878776
2019,10/1/2019,10,106.92699113,106.92699113
2019,11/1/2019,11,106.57286853,106.57286853
2019,12/1/2019,12,105.78090124,105.78090124
2020,1/1/2020,1,105.92797243,105.92797243
2020,2/1/2020,2,105.57869677,105.57869677
2020,3/1/2020,3,105.67647495,105.67647495
2020,4/1/2020,4,106.79109122,106.149914
2020,5/1/2020,5,106.149914,106.149914
2020,6/1/2020,6,105.90627113,105.90627113
2020,7/1/2020,7,106.91948615,106.91948615
2020,8/1/2020,8,109.2259764,109.2259764
2020,9/1/2020,9,109.49544294,109.49544294
2020,10/1/2020,10,109.68713629,109.68713629
2020,11/1/2020,11,109.12080085,109.12080085
2020,12/1/2020,12,108.35504209,108.35504209
2021,1/1/2021,1,106.87949757,106.87949757
2021,2/1/2021,2,107.409694950485,107.409694950485
2021,3/1/2021,3,106.907086402887,106.907086402887
2021,4/1/2021,4,107.114092536348,107.114092536348
2021,5/1/2021,5,107.483588710153,107.483588710153
2021,6/1/2021,6,108.00484085443,108.00484085443
2021,7/1/2021,7,110.05884562891,110.05884562891
2021,8/1/2021,8,112.104790050941,112.104790050941
2021,9/1/2021,9,112.825912450736,112.825912450736
2021,10/1/2021,10,113.219003405535,113.219003405535
2021,11/1/2021,11,112.360067214572,112.360067214572
2021,12/1/2021,12,112.475089108752,112.475089108752
2022,1/1/2022,1,112.776614909541,112.776614909541
2022,2/1/2022,2,114.387373699134,114.387373699134
2022,3/1/2022,3,113.518352480518,113.518352480518
2022,4/1/2022,4,114.611742976647,114.611742976647
2022,5/1/2022,5,115.468121482264,115.468121482264
2022,6/1/2022,6,117.636778832286,117.6
2022,7/1/2022,7,122.138951597195,122.1
2022,8/1/2022,8,124.821957769809,124.8
2022,9/1/2022,9,126.210339062499,126.2
2022,10/1/2022,10,127.923804007439,128
2022,11/1/2022,11,128.212901121143,128
2022,12/1/2022,12,126.890471351512,127
