"annee","mois","ipc"
2018,1,102.052798
2018,2,102.050265
2018,3,101.962658
2018,4,104.357903
2018,5,105.952203
2018,6,104.968016
2018,7,104.29699
2018,8,103.570325
2018,9,102.338796
2018,10,102.135526
2018,11,103.136025
2018,12,103.8791
2019,1,104.6442
2019,2,104.192197
2019,3,104.041152
2019,4,104.030112
2019,5,105.441735
2019,6,106.291242
2019,7,104.97154
2019,8,103.294579
2019,9,102.725932
2019,10,102.536416
2019,11,103.52278
2019,12,103.537697
2020,1,105.399284
2020,2,105.299686
2020,3,105.624092
2020,4,106.476277
2020,5,106.66481
2020,6,105.881068
2020,7,106.545664
2020,8,105.7
2020,9,105.746686
2020,10,105.43989
2020,11,105.934671
2020,12,107.246479
2021,1,107.413404
2021,2,107.531604
2021,3,106.75137
2021,4,109.650703
2021,5,110.712065
2021,6,112.497741
2021,7,113.746956
2021,8,112.973243
2021,9,111.744469
2021,10,111.64744
2021,11,111.558159
2021,12,113.771863
2022,1,115.4476
2022,2,116.602906
2022,3,116.135724
2022,4,117.902874
2022,5,119.571785
2022,6,120.115684
2022,7,120.534602
2022,8,120.918641
2022,9,120.540623
2022,10,119.666997
2022,11,121.332272
2022,12,122.580969
