"country","hhid","year","grappe","menage","vague","logem","mur","toit","sol","eauboi_ss","eauboi_sp","elec_ac","elec_ur","elec_ua","ordure","toilet","eva_toi","eva_eau","tv","fer","frigo","cuisin","ordin","decod","car","superf","grosrum","petitrum","porc","lapin","volail","sh_id_demo","sh_co_natu","sh_co_eco","sh_id_eco","sh_co_vio","sh_co_oth"
"SEN",201,2021,2,1,2,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,,0,5,0,0,0,0,0,1,1,0,0
"SEN",203,2021,2,3,2,3,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,,0,0,0,0,0,1,0,0,0,0,0
"SEN",204,2021,2,4,2,3,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,0
"SEN",205,2021,2,5,2,3,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",206,2021,2,6,2,3,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",207,2021,2,7,2,3,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",208,2021,2,8,2,3,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",212,2021,2,12,2,3,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0
"SEN",213,2021,2,13,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",214,2021,2,14,2,3,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,,0,0,0,0,0,1,0,1,0,0,0
"SEN",215,2021,2,15,2,3,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",216,2021,2,16,2,3,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",302,2021,3,2,1,4,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,0
"SEN",303,2021,3,3,1,3,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0
"SEN",304,2021,3,4,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,,0,0,0,0,0,1,0,0,1,0,0
"SEN",305,2021,3,5,1,4,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0
"SEN",306,2021,3,6,1,3,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",307,2021,3,7,1,4,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",309,2021,3,9,1,3,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,1,0,0
"SEN",313,2021,3,13,1,3,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,1,0,0
"SEN",314,2021,3,14,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,1,0,0,0
"SEN",315,2021,3,15,1,3,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0
"SEN",316,2021,3,16,1,3,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0
"SEN",317,2021,3,17,1,4,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,,5,0,0,0,0,1,0,1,0,0,0
"SEN",401,2021,4,1,2,3,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",402,2021,4,2,2,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,,0,8,0,0,350,0,0,1,0,0,0
"SEN",403,2021,4,3,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,,0,0,0,0,0,1,0,0,0,0,0
"SEN",404,2021,4,4,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0
"SEN",405,2021,4,5,2,3,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",407,2021,4,7,2,4,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0
"SEN",408,2021,4,8,2,3,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0
"SEN",409,2021,4,9,2,3,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",411,2021,4,11,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0
"SEN",412,2021,4,12,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0
"SEN",413,2021,4,13,2,3,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",502,2021,5,2,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",504,2021,5,4,1,3,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,,0,15,0,0,0,0,1,0,0,0,0
"SEN",505,2021,5,5,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,,0,3,0,0,0,1,0,1,0,0,0
"SEN",506,2021,5,6,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0
"SEN",507,2021,5,7,1,3,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,,0,0,0,0,0,1,0,1,0,0,0
"SEN",509,2021,5,9,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,1,0,0,0
"SEN",510,2021,5,10,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,,0,35,0,0,0,0,0,0,0,0,0
"SEN",511,2021,5,11,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,1,0,0,0
"SEN",512,2021,5,12,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0
"SEN",513,2021,5,13,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",514,2021,5,14,1,3,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,1,0,0
"SEN",515,2021,5,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,,0,7,0,0,0,0,0,1,0,0,0
"SEN",602,2021,6,2,2,3,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0
"SEN",603,2021,6,3,2,3,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",604,2021,6,4,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",605,2021,6,5,2,3,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,,0,0,0,0,175,0,0,1,0,0,0
"SEN",606,2021,6,6,2,3,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
