country,hhid,year,grappe,menage,vague,logem,mur,toit,sol,eauboi_ss,eauboi_sp,elec_ac,elec_ur,elec_ua,ordure,toilet,eva_toi,eva_eau,tv,fer,frigo,cuisin,ordin,decod,car,superf,grosrum,petitrum,porc,lapin,volail,sh_id_demo,sh_co_natu,sh_co_eco,sh_id_eco,sh_co_vio,sh_co_oth,enquete
bfa,586005,2021,586,5,2,Proprietaire titre,Oui,Oui,Oui,Non,Non,Oui,Oui,Non,Non,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,1.2502222061157227,0,0,0,0,0,Non,Non,Non,Non,Oui,Non,grappes de l'enquête transversale
bfa,586028,2021,586,28,2,Proprietaire titre,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Oui,Oui,Oui,Non,Oui,Non,Non,Oui,Oui,,20,6,0,0,0,Non,Non,Non,Oui,Oui,Non,grappes de l'enquête transversale
bfa,586043,2021,586,43,2,Proprietaire sans titre,Oui,Oui,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,,0,4,0,0,15,Non,Oui,Oui,Non,Non,Non,grappes de l'enquête transversale
bfa,586044,2021,586,44,2,Locataire,Oui,Oui,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,0.9322951436042786,1,4,0,0,11,Non,Oui,Oui,Non,Non,Non,grappes de l'enquête transversale
bfa,586052,2021,586,52,2,Locataire,Oui,Oui,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,,0,0,0,0,0,Oui,Non,Oui,Non,Non,Non,grappes de l'enquête transversale
bfa,586082,2021,586,82,2,Proprietaire titre,Oui,Oui,Oui,Non,Non,Oui,Oui,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Oui,Non,1.6127994060516357,1,0,0,0,0,Non,Non,Non,Non,Oui,Non,grappes de l'enquête transversale
bfa,586083,2021,586,83,2,Proprietaire sans titre,Oui,Oui,Oui,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,3.720546007156372,0,7,0,0,20,Non,Oui,Non,Non,Oui,Non,grappes de l'enquête transversale
bfa,586099,2021,586,99,2,Locataire,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Non,Oui,Non,Non,Oui,Non,Non,Oui,Non,Oui,Non,1.12730073928833,0,0,0,0,0,Non,Oui,Oui,Oui,Non,Non,grappes de l'enquête transversale
bfa,586109,2021,586,109,2,Proprietaire sans titre,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,0.9321289658546448,0,0,0,0,0,Non,Oui,Oui,Non,Oui,Non,grappes de l'enquête transversale
bfa,586111,2021,586,111,2,Locataire,Oui,Oui,Oui,Non,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,2.6114583015441895,1,0,0,0,5,Non,Oui,Oui,Oui,Non,Non,grappes de l'enquête transversale
bfa,586114,2021,586,114,2,Locataire,Oui,Oui,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,,0,0,0,0,0,Non,Oui,Oui,Non,Non,Non,grappes de l'enquête transversale
bfa,586122,2021,586,122,2,Locataire,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Non,Non,Oui,Non,Non,Oui,Oui,Oui,Non,2.2896775603294373,0,0,0,0,34,Non,Oui,Oui,Non,Non,Non,grappes de l'enquête transversale
bfa,587005,2021,587,5,2,Proprietaire sans titre,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,4.521803975105286,0,0,0,0,6,Non,Non,Oui,Non,Non,Non,grappes de l'enquête transversale
bfa,587028,2021,587,28,2,Proprietaire sans titre,Non,Non,Non,Oui,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,6.305739402770996,0,0,0,0,0,Non,Oui,Non,Non,Non,Non,grappes de l'enquête transversale
bfa,587032,2021,587,32,2,Proprietaire sans titre,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,1.7830486297607422,0,0,0,0,0,Oui,Non,Oui,Non,Non,Non,grappes de l'enquête transversale
bfa,587043,2021,587,43,2,Proprietaire sans titre,Oui,Non,Non,Oui,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,4.353715896606445,0,15,0,0,12,Non,Oui,Oui,Oui,Non,Non,grappes de l'enquête transversale
bfa,587044,2021,587,44,2,Proprietaire sans titre,Oui,Non,Non,Oui,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,1.3765161037445068,0,0,0,0,0,Non,Non,Oui,Non,Non,Non,grappes de l'enquête transversale
bfa,587050,2021,587,50,2,Proprietaire sans titre,Non,Non,Non,Oui,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,5.0132967829704285,0,5,0,0,10,Non,Non,Non,Non,Non,Non,grappes de l'enquête transversale
bfa,587052,2021,587,52,2,Proprietaire sans titre,Oui,Oui,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,6.696468353271484,0,0,0,0,0,Non,Oui,Oui,Non,Non,Non,grappes de l'enquête transversale
bfa,587056,2021,587,56,2,Proprietaire sans titre,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,12.074334621429443,0,4,0,0,4,Non,Oui,Oui,Non,Non,Non,grappes de l'enquête transversale
bfa,587065,2021,587,65,2,Proprietaire sans titre,Oui,Non,Non,Oui,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,7.749281883239746,0,0,0,0,50,Non,Non,Non,Non,Non,Non,grappes de l'enquête transversale
bfa,587082,2021,587,82,2,Proprietaire sans titre,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,2.915593683719635,0,0,5,0,0,Non,Non,Oui,Non,Non,Non,grappes de l'enquête transversale
bfa,587083,2021,587,83,2,Proprietaire sans titre,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,4.146139144897461,6,20,0,0,0,Oui,Oui,Oui,Non,Non,Non,grappes de l'enquête transversale
bfa,587094,2021,587,94,2,Proprietaire sans titre,Non,Non,Non,Oui,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,2.0708550214767456,30,10,0,0,30,Non,Oui,Oui,Non,Non,Non,grappes de l'enquête transversale
bfa,588028,2021,588,28,1,Proprietaire sans titre,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,11.876773715019226,1,3,0,0,0,Non,Oui,Oui,Non,Non,Non,grappes de l'enquête transversale
bfa,588032,2021,588,32,1,Proprietaire sans titre,Oui,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,8.64312968403101,2,20,0,0,0,Non,Oui,Oui,Oui,Non,Non,grappes de l'enquête transversale
bfa,588040,2021,588,40,1,Proprietaire sans titre,Oui,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,3.8875269293785095,0,5,0,0,0,Non,Oui,Oui,Non,Non,Non,grappes de l'enquête transversale
bfa,588043,2021,588,43,1,Proprietaire sans titre,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,4.096268653869629,2,6,1,0,0,Non,Oui,Oui,Non,Non,Non,grappes de l'enquête transversale
bfa,588044,2021,588,44,1,Proprietaire sans titre,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,5.783880829811096,0,0,0,0,0,Non,Oui,Non,Non,Non,Non,grappes de l'enquête transversale
bfa,588052,2021,588,52,1,Proprietaire sans titre,Oui,Oui,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,4.067480385303497,0,7,0,0,9,Non,Oui,Oui,Non,Non,Non,grappes de l'enquête transversale
bfa,588078,2021,588,78,1,Proprietaire sans titre,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,1.816701054573059,0,4,1,0,0,Non,Oui,Non,Non,Non,Non,grappes de l'enquête transversale
bfa,588082,2021,588,82,1,Proprietaire sans titre,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,2.9292842745780945,5,10,0,0,20,Non,Oui,Oui,Non,Non,Non,grappes de l'enquête transversale
bfa,588111,2021,588,111,1,Proprietaire sans titre,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,3.1793501377105713,0,0,0,0,3,Non,Non,Non,Non,Non,Non,grappes de l'enquête transversale
bfa,588122,2021,588,122,1,Proprietaire sans titre,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,2.421299993991852,1,30,3,0,20,Non,Oui,Oui,Oui,Non,Non,grappes de l'enquête transversale
bfa,588131,2021,588,131,1,Proprietaire sans titre,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,6.237534284591675,1,2,0,0,3,Non,Oui,Oui,Oui,Non,Non,grappes de l'enquête transversale
bfa,588135,2021,588,135,1,Proprietaire sans titre,Oui,Oui,Non,Oui,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,6.802450656890869,1,6,1,0,6,Non,Oui,Oui,Non,Non,Non,grappes de l'enquête transversale
bfa,589028,2021,589,28,2,Proprietaire sans titre,Oui,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,7.227607429027557,1,15,0,0,0,Non,Non,Non,Non,Non,Non,grappes de l'enquête transversale
bfa,589032,2021,589,32,2,Proprietaire sans titre,Oui,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,3.725275993347168,0,6,0,0,12,Oui,Non,Non,Non,Non,Non,grappes de l'enquête transversale
bfa,589040,2021,589,40,2,Proprietaire sans titre,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,4.439467191696167,1,6,0,0,34,Non,Oui,Oui,Non,Non,Non,grappes de l'enquête transversale
bfa,589043,2021,589,43,2,Proprietaire sans titre,Oui,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,,0,0,0,0,0,Non,Non,Oui,Non,Non,Non,grappes de l'enquête transversale
bfa,589052,2021,589,52,2,Proprietaire sans titre,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,,0,0,0,0,0,Non,Non,Non,Non,Oui,Non,grappes de l'enquête transversale
bfa,589078,2021,589,78,2,Proprietaire sans titre,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,5.0650646686553955,1,23,0,0,40,Oui,Oui,Oui,Oui,Non,Non,grappes de l'enquête transversale
bfa,589082,2021,589,82,2,Proprietaire sans titre,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,4.117123305797577,0,66,0,0,40,Oui,Oui,Oui,Non,Non,Non,grappes de l'enquête transversale
bfa,589083,2021,589,83,2,Proprietaire sans titre,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,2.6090487241744995,2,6,0,0,0,Non,Non,Oui,Oui,Non,Non,grappes de l'enquête transversale
bfa,589099,2021,589,99,2,Proprietaire sans titre,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,2.619175434112549,0,10,0,0,27,Non,Oui,Oui,Non,Non,Non,grappes de l'enquête transversale
bfa,589114,2021,589,114,2,Proprietaire sans titre,Oui,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,2.2361926436424255,0,15,0,0,0,Non,Non,Non,Non,Non,Non,grappes de l'enquête transversale
bfa,589130,2021,589,130,2,Proprietaire sans titre,Non,Non,Non,Oui,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,1.6869169473648071,45,7,0,0,15,Non,Oui,Oui,Non,Oui,Non,grappes de l'enquête transversale
bfa,589143,2021,589,143,2,Proprietaire sans titre,Non,Non,Non,Oui,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,1.742331624031067,30,12,0,0,50,Non,Oui,Oui,Non,Oui,Non,grappes de l'enquête transversale
bfa,590003,2021,590,3,2,Locataire,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Oui,Non,Non,Oui,Oui,Non,Non,Oui,Non,Oui,Non,,0,0,0,0,0,Non,Non,Non,Non,Non,Non,grappes de l'enquête transversale
bfa,590025,2021,590,25,2,Locataire,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Oui,Non,,0,0,0,0,0,Non,Non,Non,Oui,Non,Non,grappes de l'enquête transversale
bfa,590032,2021,590,32,2,Locataire,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,,0,0,0,0,7,Non,Non,Oui,Non,Non,Non,grappes de l'enquête transversale
bfa,590033,2021,590,33,2,Locataire,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Oui,Non,,0,0,0,0,0,Non,Non,Oui,Non,Non,Non,grappes de l'enquête transversale
bfa,590045,2021,590,45,2,Proprietaire titre,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,,0,0,0,0,20,Non,Non,Oui,Non,Non,Non,grappes de l'enquête transversale
