"country","hhid","grappe","menage","vague","logem","mur","toit","sol","eauboi_ss","eauboi_sp","elec_ac","elec_ur","elec_ua","ordure","toilet","eva_toi","eva_eau","year","tv","fer","frigo","cuisin","ordin","decod","car","superf","grosrum","petitrum","porc","lapin","volail","sh_id_demo","sh_co_natu","sh_co_eco","sh_id_eco","sh_co_vio","sh_co_oth"
"NER",101,1,1,2,2,0,0,0,1,1,0,0,0,0,0,0,0,2021,0,0,0,0,0,0,0,,0,50,0,0,0,0,1,1,1,0,0
"NER",103,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2021,0,0,0,0,0,0,0,,0,20,0,0,0,0,1,1,0,0,0
"NER",104,1,4,2,2,0,0,0,1,1,0,0,0,0,0,0,0,2021,0,0,0,0,0,0,0,,0,8,0,0,0,0,1,1,0,0,0
"NER",105,1,5,2,2,0,0,0,1,1,0,0,0,0,0,0,0,2021,0,0,0,0,0,0,0,,0,5,0,0,0,0,0,1,0,0,0
"NER",106,1,6,2,4,1,0,0,1,1,0,0,0,0,0,0,0,2021,0,0,0,0,0,0,0,,0,3,0,0,0,1,0,0,0,0,0
"NER",108,1,8,2,4,0,0,0,1,1,0,0,0,0,0,0,0,2021,0,0,0,0,0,0,0,,2,8,0,0,0,1,0,0,0,0,0
"NER",111,1,11,2,2,1,0,0,1,1,0,0,0,0,0,0,0,2021,0,0,0,0,0,0,0,,0,30,0,0,0,0,1,0,0,0,0
"NER",112,1,12,2,2,1,0,0,1,1,0,0,0,0,0,0,0,2021,0,0,0,0,0,0,0,,20,26,0,0,0,1,1,0,0,0,0
"NER",121,1,21,2,4,1,0,0,1,1,0,0,0,0,0,0,0,2021,0,0,0,0,0,0,0,,0,5,0,0,0,0,1,0,0,0,0
"NER",123,1,23,2,4,0,0,0,1,1,0,0,0,0,0,0,0,2021,0,0,0,0,0,0,0,,0,12,0,0,0,0,1,0,0,0,0
"NER",125,1,25,2,4,0,0,0,1,1,0,0,0,0,0,0,0,2021,0,0,0,0,0,0,0,,0,8,0,0,0,0,0,0,1,0,0
"NER",127,1,27,2,2,0,0,0,1,0,0,0,0,0,0,0,0,2021,0,0,0,0,0,0,0,,0,8,0,0,0,0,0,0,0,0,0
"NER",201,2,1,2,1,1,0,0,1,1,1,1,0,1,1,1,0,2021,1,1,0,0,0,0,0,,0,9,0,0,0,0,1,1,0,0,0
"NER",203,2,3,2,1,1,0,0,1,1,0,0,0,1,1,0,0,2021,0,0,0,0,0,0,0,,,,,,,1,1,1,0,0,0
"NER",205,2,5,2,4,1,0,1,1,1,0,0,0,0,0,0,0,2021,0,0,0,0,0,0,0,,,,,,,0,0,1,0,0,0
"NER",206,2,6,2,1,1,0,0,1,1,1,1,0,0,0,0,0,2021,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0
"NER",207,2,7,2,4,1,0,0,1,1,0,0,0,0,0,0,0,2021,0,0,0,0,0,0,0,,0,2,0,0,0,0,0,0,1,0,0
"NER",209,2,9,2,4,1,0,0,0,0,0,0,0,0,0,0,0,2021,0,0,0,0,0,0,0,,,,,,,1,0,0,0,0,0
"NER",210,2,10,2,4,1,0,0,1,1,0,1,0,1,0,0,0,2021,0,0,0,0,0,0,0,,,,,,,0,0,1,1,0,0
"NER",211,2,11,2,1,1,0,0,1,1,1,1,0,1,0,0,0,2021,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0
