"country","hhid","year","grappe","menage","vague","logem","mur","toit","sol","eauboi_ss","eauboi_sp","elec_ac","elec_ur","elec_ua","ordure","toilet","eva_toi","eva_eau","tv","fer","frigo","cuisin","ordin","decod","car","superf","grosrum","petitrum","porc","lapin","volail","sh_id_demo","sh_co_natu","sh_co_eco","sh_id_eco","sh_co_vio","sh_co_oth"
"GNB",11122701,2021,111227,1,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0452359989285469,0,2,4,0,10,0,0,0,0,0,0
"GNB",11122702,2021,111227,2,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0020000000949949,0,3,4,0,27,0,1,0,0,0,0
"GNB",11122703,2021,111227,3,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00999999977648258,30,5,20,0,40,0,1,0,0,0,0
"GNB",11122704,2021,111227,4,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00999999977648258,0,0,0,0,0,1,0,0,0,0,0
"GNB",11122705,2021,111227,5,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068522997200489,0,0,0,0,0,0,0,0,0,0,0
"GNB",11122708,2021,111227,8,1,2,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0020000000949949,0,0,0,0,0,0,0,0,1,0,0
"GNB",11122709,2021,111227,9,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0020000000949949,0,3,3,0,14,1,1,0,1,0,0
"GNB",11152301,2021,111523,1,1,2,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.00749999983236,0,0,0,0,30,1,0,0,0,0,0
"GNB",11152302,2021,111523,2,1,2,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,10,1,1,1,0,0,0
"GNB",11152303,2021,111523,3,1,2,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"GNB",11152304,2021,111523,4,1,4,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.00400000018999,0,2,0,0,7,0,0,1,0,0,0
"GNB",11152305,2021,111523,5,1,2,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,5.6522479057312,0,0,0,0,0,1,0,1,0,0,0
"GNB",11152306,2021,111523,6,1,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
"GNB",11152307,2021,111523,7,1,2,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.00120000005699694,0,0,0,0,0,0,0,1,0,0,0
"GNB",11152308,2021,111523,8,1,2,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,0,0,0,0,10,0,0,1,0,0,0
"GNB",11152309,2021,111523,9,1,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,2,1,0,0,0,0,0
"GNB",11152701,2021,111527,1,1,2,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
