"codpr","prodlab","refuse","cal"
1,"Riz local type 1",0,353
2,"Riz local type 2",0,353
3,"Riz importé 1",0,353
4,"Riz importé 2",0,353
5,"Maïs en épi",45,351
6,"Maïs en grain",0,351
7,"Mil",0,356
8,"Sorgho",0,349
9,"Blé",0,351
10,"Fonio",0,349
11,"Autres céréales",0,343
12,"Farine de maïs",0,358
13,"Semoule de mais",0,358
14,"Farine de mil",0,355
15,"Semoule de mil",0,355
16,"Farine de blé local ou importé",0,351
17,"Semoule de blé",0,351
18,"Autres farines de céréales",0,358
19,"Autres semoules de céréales",0,358
20,"Pâtes alimentaires",0,359
21,"Pain moderne",0,250
22,"Pain traditionnel",0,250
23,"Croissants",0,406
24,"Biscuits",0,325
25,"Gâteaux",0,365
26,"Beignets, galettes",0,365
27,"Viande de boeuf",20,212
28,"Viande de chameau",19,133
29,"Viande de mouton",18,257
30,"Viande de chèvre",26,165
31,"Abats et tripes rouges (foie, rognon, etc.)",0,113
32,"Viande de porc",20,332
33,"Poulet sur pied",0,100
34,"Viande de poulet",41,164
35,"Viande autres volailles domestiques",41,164
36,"Charcuterie (jambon, saucisson), conserves de viandes",0,227
37,"Viande séchée",0,178
38,"Gibiers",50,112
39,"Autres viandes n.d.a.",0,255
40,"Poisson frais type 1",0,61
41,"Poisson frais type 2",0,61
42,"Poisson frais type 3",0,61
43,"Poisson frais type 4",0,61
44,"Poisson fumé type 1",0,158
45,"Poisson fumé type 2",0,158
46,"Poisson séché",0,158
47,"Crabes",0,86
48,"Crevettes fraiches",0,71
49,"Crevettes séchées",0,77
50,"Autres fruits de mer",0,86
51,"Conserves de poisson",0,212
52,"Lait frais",0,51
53,"Lait caillé, yaourt",0,73
54,"Lait concentré sucré",0,328
55,"Lait concentré non-sucré",0,135
56,"Lait en poudre",0,427
57,"Fromage",0,340
58,"Lait et farines pour bébé",0,496
59,"Autres produits laitiers",0,264
60,"__Oeufs",13,139
61,"Beurre",0,720
62,"Beurre de karité",0,900
63,"Huile de palme rouge",0,900
64,"Huile d'arachide raffinée",0,900
65,"Huile d'arachide segal",0,900
66,"Huile de soja",0,900
67,"Huile de coton",0,900
