"codpr","produitNom","uniteID","uniteNom","tailleID","tailleNom","poids","unite"
1,"Riz local brisé",100,"Kg",0,"taille unique",1000,1000
1,"Riz local brisé",108,"Boite de tomate/Pot",3,"Grand",1997.5,1083
1,"Riz local brisé",108,"Boite de tomate/Pot",1,"Petit",521.5,1081
1,"Riz local brisé",108,"Boite de tomate/Pot",7,"Tres petit",222,1087
1,"Riz local brisé",108,"Boite de tomate/Pot",2,"Moyen",935,1082
1,"Riz local brisé",136,"Sac (25 Kg)",0,"taille unique",25000,1360
1,"Riz local brisé",138,"Sac (50 Kg)",0,"taille unique",50000,1380
1,"Riz local brisé",139,"Sachets",2,"Moyen",926,1392
2,"Riz local entier",100,"Kg",0,"taille unique",1000,1000
2,"Riz local entier",108,"Boite de tomate/Pot",3,"Grand",1940,1083
2,"Riz local entier",108,"Boite de tomate/Pot",1,"Petit",471,1081
2,"Riz local entier",108,"Boite de tomate/Pot",7,"Tres petit",217.5,1087
2,"Riz local entier",108,"Boite de tomate/Pot",2,"Moyen",912,1082
2,"Riz local entier",136,"Sac (25 Kg)",0,"taille unique",25000,1360
2,"Riz local entier",138,"Sac (50 Kg)",0,"taille unique",50000,1380
2,"Riz local brisé",139,"Sachets",2,"Moyen",926,1392
3,"Riz importé brisé",100,"Kg",0,"taille unique",1000,1000
3,"Riz importé brisé",108,"Boite de tomate/Pot",2,"Moyen",934.5,1082
3,"Riz importé brisé",108,"Boite de tomate/Pot",1,"Petit",455,1081
3,"Riz importé brisé",108,"Boite de tomate/Pot",3,"Grand",1897,1083
3,"Riz importé brisé",108,"Boite de tomate/Pot",7,"Tres petit",224,1087
3,"Riz importé brisé",136,"Sac (25 Kg)",0,"taille unique",25000,1360
3,"Riz importé brisé",138,"Sac (50 Kg)",0,"taille unique",50000,1380
4,"Riz importé entier",100,"Kg",0,"taille unique",1000,1000
4,"Riz importé entier",108,"Boite de tomate/Pot",1,"Petit",229,1081
4,"Riz importé entier",108,"Boite de tomate/Pot",2,"Moyen",887,1082
4,"Riz importé entier",108,"Boite de tomate/Pot",3,"Grand",1390,1083
4,"Riz importé entier",136,"Sac (25 Kg)",0,"taille unique",25000,1360
4,"Riz importé entier",138,"Sac (50 Kg)",0,"taille unique",50000,1380
5,"Maïs en épi",143,"tas",2,"Moyen",1590,1432
5,"Maïs en épi",143,"tas",3,"Grand",3180,1433
5,"Maïs en épi",143,"tas",1,"Petit",795,1431
5,"Maïs en épi",147,"unité (gousse, carcasse etc.)",2,"Moyen",389,1472
5,"Maïs en épi",147,"unité (gousse, carcasse etc.)",1,"Petit",218.5,1471
5,"Maïs en épi",147,"unité (gousse, carcasse etc.)",3,"Grand",552,1473
6,"Maïs en grain",100,"Kg",0,"taille unique",1000,1000
6,"Maïs en grain",108,"Boite de tomate/Pot",7,"Très petit",208,1087
6,"Maïs en grain",108,"Boite de tomate/Pot",2,"Moyen",964,1082
6,"Maïs en grain",108,"Boite de tomate/Pot",1,"Petit",439,1081
6,"Maïs en grain",108,"Boite de tomate/Pot",3,"Grand",1677,1083
6,"Maïs en grain",115,"Calebasse",2,"Moyen",500,1152
6,"Maïs en grain",115,"Calebasse",1,"Petit",250,1151
6,"Maïs en grain",115,"Calebasse",3,"Grand",1000,1153
