"vague","grappe","menage","poids","poids_nonlisse"
1,421,13,342.088773442276,574.919978518508
1,438,6,191.115093132659,138.981390465221
1,429,2,183.226926016639,118.128473738322
1,438,10,191.115093132659,138.981390465221
2,426,8,172.564408183903,187.767950707935
2,424,5,142.254747907385,99.8892688043151
1,440,11,150.389757875492,136.39514792751
2,428,7,144.893500272642,99.2384179710996
2,437,11,159.334281360626,190.835497204158
2,437,13,159.334281360626,190.835497204158
1,438,1,191.115093132659,138.981390465221
2,426,13,172.564408183903,187.767950707935
1,440,14,187.475174867398,211.958059879351
1,440,7,187.475174867398,211.958059879351
1,442,1,120.698703555063,103.806245949656
1,429,13,624.720527198775,1373.24350720799
2,424,1,142.254747907385,99.8892688043151
2,441,1,83.289120443428,62.9346680176844
2,422,5,139.319496570396,113.346018521202
2,443,6,131.986195696331,118.003360526691
1,427,6,236.284987180576,239.188190585949
2,439,3,152.261299259868,132.952181847039
2,437,12,118.016172506376,104.694474160615
1,438,8,191.115093132659,138.981390465221
1,442,9,120.698703555063,103.806245949656
1,427,7,236.284987180576,239.188190585949
2,424,9,142.254747907385,99.8892688043151
2,422,12,139.319496570396,113.346018521202
2,441,5,83.289120443428,62.9346680176844
2,441,2,83.289120443428,62.9346680176844
1,440,10,150.389757875492,136.39514792751
1,440,8,150.389757875492,136.39514792751
2,443,10,131.986195696331,118.003360526691
1,427,2,236.284987180576,239.188190585949
2,439,14,211.449856908405,256.407779276433
1,421,4,139.174747361769,95.1591688582358
1,425,14,440.132714771395,637.494837311714
2,424,12,142.254747907385,99.8892688043151
2,441,8,83.289120443428,62.9346680176844
1,423,7,124.873657073967,107.590031697787
1,423,11,124.873657073967,107.590031697787
1,442,3,120.698703555063,103.806245949656
1,421,12,139.174747361769,95.1591688582358
1,427,1,236.284987180576,239.188190585949
2,441,3,83.289120443428,62.9346680176844
2,437,14,159.334281360626,190.835497204158
1,429,6,183.226926016639,118.128473738322
1,421,8,139.174747361769,95.1591688582358
1,425,12,218.703704300081,157.406132669559
2,426,14,172.564408183903,187.767950707935
2,443,3,131.986195696331,118.003360526691
2,441,12,83.289120443428,62.9346680176844
1,427,12,236.284987180576,239.188190585949
1,429,3,183.226926016639,118.128473738322
2,424,3,432.416996558032,922.976843751872
1,440,4,150.389757875492,136.39514792751
2,422,11,139.319496570396,113.346018521202
1,425,3,440.132714771395,637.494837311714
1,442,8,120.698703555063,103.806245949656
1,423,8,169.271757979621,197.696683244684
1,423,4,124.873657073967,107.590031697787
2,422,2,139.319496570396,113.346018521202
2,424,10,142.254747907385,99.8892688043151
1,423,2,124.873657073967,107.590031697787
2,437,2,118.016172506376,104.694474160615
2,437,9,118.016172506376,104.694474160615
1,423,5,124.873657073967,107.590031697787
2,441,7,83.289120443428,62.9346680176844
1,438,14,431.821292583499,709.536572375077
