"vague","grappe","s00q00","s00q02","s00q03","s00q04__1","s00q04__2","s00q04__3","s00q04__4","s00q04__5","s00q04__6","s00q04__7","s00q04__8","s00q04__9","s00q04__10","s00q04__11","s00q04__12","s00q04_autre","s00q05","s00q06"
2,2,3,2,50,0,0,0,0,0,0,0,0,0,0,1,0,,50,2
2,2,1,1,64,1,0,0,0,0,0,0,0,0,0,0,0,,64,3
2,2,2,1,55,0,0,0,0,0,0,1,0,0,0,0,0,,55,1
1,3,4,1,61,0,1,0,0,0,0,0,0,0,0,0,0,,61,2
1,3,2,1,59,0,0,0,0,0,0,1,0,0,0,0,0,,59,3
1,3,5,1,30,0,0,0,0,0,0,0,0,1,0,0,0,"president de l'association des jeunes de la rue 5",30,5
1,3,3,2,62,0,0,0,0,0,0,0,0,0,0,1,0,,50,3
1,3,1,2,50,1,0,0,0,0,0,0,0,0,0,2,0,,50,3
2,4,2,2,68,0,0,0,0,0,0,0,0,0,0,1,0,,48,3
2,4,3,1,80,0,0,0,0,0,0,1,0,0,0,0,0,,80,1
2,4,1,1,70,1,0,0,0,0,0,0,0,0,0,0,0,,70,5
1,5,2,1,72,0,0,0,0,0,0,1,0,0,0,0,0,,72,1
1,5,3,2,55,0,0,0,0,0,0,0,0,0,0,1,0,,39,2
1,5,1,1,68,1,0,0,0,0,0,0,2,0,0,0,0,,68,4
2,6,3,2,55,0,0,0,0,0,0,0,0,0,0,1,0,,55,2
2,6,2,1,70,0,0,0,0,0,0,1,0,0,0,0,0,,60,3
2,6,1,1,80,1,0,0,0,0,0,0,0,0,0,0,0,,68,5
1,7,4,1,66,0,1,0,0,0,0,0,0,0,0,0,0,,60,5
1,7,3,1,40,0,0,0,0,0,0,0,0,1,0,0,0,"president conseil de quqrtier",20,5
1,7,1,1,81,1,0,0,0,0,0,0,0,0,0,0,0,,70,3
1,7,2,2,45,0,0,0,0,0,0,0,0,0,0,1,0,,40,3
2,8,3,2,61,0,0,0,0,0,0,0,0,0,0,1,0,,61,3
2,8,2,1,68,0,0,0,0,0,0,1,0,0,0,0,0,,68,1
2,8,1,1,63,1,0,0,0,0,0,0,0,0,0,0,0,,63,5
1,9,1,1,55,1,2,0,0,0,0,0,0,0,0,0,0,,40,2
1,9,2,2,42,0,0,2,0,0,0,0,0,0,0,1,0,,42,3
1,9,3,2,63,0,1,0,0,0,0,0,0,0,0,0,0,,21,4
2,10,3,2,51,0,0,0,0,0,0,0,0,0,0,1,0,,51,3
2,10,1,1,59,1,0,0,0,0,0,0,0,0,0,0,0,,59,2
2,10,2,1,53,0,0,0,0,0,0,0,0,1,0,0,0,"co adjoint chef de QUARTER",53,3
1,11,4,1,35,0,0,0,0,0,0,0,0,1,0,0,0,"représentant des jeunes",35,4
1,11,2,2,63,0,0,0,0,0,0,0,0,1,0,0,0,"présidente d'organisation du comité de quartier",63,3
1,11,3,2,61,0,0,0,0,0,0,0,0,1,0,0,0,"présidente des femmes du quartier Djidah Ngelaw II",61,4
1,11,1,1,65,1,0,0,0,0,0,0,0,0,0,0,0,,65,4
1,11,5,1,44,0,0,0,0,0,0,0,0,1,0,0,0,"représentant des jeunes",44,2
1,11,6,1,48,0,0,0,0,0,0,0,0,0,1,0,0,,48,2
2,12,1,1,73,1,0,0,0,0,0,0,0,0,0,0,0,,58,4
2,12,3,1,61,0,1,0,0,0,0,0,0,0,0,0,0,,58,3
2,12,2,2,73,0,0,0,0,0,0,0,0,0,0,1,0,,58,3
1,13,4,2,56,0,0,0,0,0,0,0,0,0,0,1,0,,21,1
1,13,1,1,62,1,0,0,0,0,0,0,0,0,0,0,0,,22,3
1,13,2,1,70,0,1,0,0,0,0,0,0,0,0,0,0,,16,3
2,14,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,,90,1
2,14,3,2,50,0,0,0,0,0,0,0,0,0,0,1,0,,50,3
2,14,4,1,32,0,0,0,0,0,0,0,0,1,0,0,0,"Membre conseiler de quartier",32,5
2,14,2,1,68,0,0,0,0,0,0,1,0,0,0,0,0,,68,2
1,15,7,1,60,0,0,0,0,0,0,1,0,0,0,0,0,,25,1
1,15,2,1,55,1,0,0,0,0,0,0,0,0,0,0,0,,53,5
1,15,4,1,40,0,0,0,0,0,0,0,0,1,0,0,0,"president des jeunes",40,5
1,15,3,2,58,0,0,0,0,0,0,0,0,0,0,1,0,,36,5
1,15,1,1,71,1,0,0,0,0,0,0,0,0,0,0,0,,71,3
1,15,6,1,51,0,0,1,0,0,0,0,0,0,0,0,0,,37,5
