"grappe","s04q00","s04q00_autre","s04q01","s04q02","s04q03","s04q03_autre","s04q04","s04q05_1","s04q05_2","s04q05_3","s04q05_4","s04q05_5","s04q05_6","s04q05_7","s04q05_8","s04q05_9","s04q05_10","s04q05_11","s04q05_12","s04q05_autre","s04q06","s04q07_1","s04q07_2","s04q07_3","s04q07_4","s04q07_5","s04q07_6","s04q07_7","s04q07_8","s04q07_autre","s04q08","s04q09_1","s04q09_2","s04q09_3","s04q09_4","s04q09_5","s04q09_6"
586,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,7,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,8,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,9,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,10,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,11,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,12,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,13,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,14,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,15,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,16,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,17,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,18,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,7,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,8,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,9,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,10,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,11,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,12,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,13,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,14,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,15,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,16,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,17,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,18,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,7,,1,1,1,,1,1,1,2,2,2,2,2,2,2,2,2,2,,1,2,2,1,2,2,2,2,2,,1,2,2,2,2,2,1
588,8,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,9,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,10,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,11,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,12,,1,1,3,,1,2,1,1,2,2,2,2,2,2,2,2,2,,1,2,2,2,2,2,2,1,2,,,1,2,2,2,2,2
588,13,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,15,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,16,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,17,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,18,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
