"grappe","menage","vague","membres__id","s04q50","s04q51b","s04q51c","s04q51d","s04q51dbis","s04q52b","s04q52c","s04q52d","s04q52dbis","s04q53","s04q54","s04q55","s04q56","s04q57","s04q59","s04q60","s04q60_unite","s04q61","s04q62","s04q62_unite","s04q63","s04q64","s04q64_unite","s04q64_controle__0","s04q28b","s04q58","s04q58_unite"
4,2,2,1,1,5,11,441,,6,52,523,,3,12,30,6,9,,,,,,,,,,,,,
5,10,1,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
6,5,2,3,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
6,14,2,13,1,11,18,997,,17,93,930,,3,5,3,2,9,,,,,,,,,,,,,
7,2,1,1,1,5,11,437,,6,52,523,,3,5,10,5,9,,,,,,,,,,,,,
7,14,1,1,1,9,16,532,,17,93,930,,3,12,7,2,9,,,,,,,,,,,,,
7,16,1,1,1,11,18,997,,18,95,950,,3,6,10,1,9,,,,,,,,,,,,,
9,9,1,5,1,2,6,116,,12,80,802,,3,12,8,7,9,,,,,,,,,,,,,
9,10,1,4,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
9,13,1,1,1,11,18,997,,17,93,930,,3,11,26,5,9,,,,,,,,,,,,,
9,14,1,1,1,12,19,998,,6,52,524,,3,11,15,5,9,,,,,,,,,,,,,
10,13,2,2,1,7,14,470,,5,45,452,,3,1,7,8,4,2,,,2,,,2,,,,,25000,1
11,3,1,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
11,4,1,4,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
11,8,1,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
11,13,1,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
12,5,2,2,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
13,13,1,2,1,5,11,445,,6,52,523,,3,9,20,5,9,,,,,,,,,,,,,
14,11,2,3,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
16,10,2,6,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
17,6,1,15,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
17,8,1,3,1,5,11,430,,6,52,526,,3,12,26,8,9,,,,,,,,,,,,,
18,5,2,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
19,1,1,2,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
19,2,1,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
19,14,1,1,1,9,16,534,,14,90,900,,1,12,20,5,4,2,,,2,,,2,,,,,100000,2
21,11,1,2,1,5,10,415,,7,55,552,,3,2,30,4,9,,,,,,,,,,,,,
21,15,1,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
23,1,1,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
23,7,1,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
23,17,1,3,1,7,14,499,,3,18,180,,3,12,15,4,10,,,,,,,,,,,,,
24,4,2,3,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
25,6,1,2,1,9,16,533,,6,51,518,,3,12,12,3,5,2,,,2,,,2,,,,,20000,2
25,12,1,4,1,7,14,475,,5,45,456,,3,12,6,6,9,,,,,,,,,,,,,
25,15,1,2,1,5,11,430,,6,50,501,,3,9,30,4,9,,,,,,,,,,,,,
26,2,2,1,1,5,11,430,,6,52,524,,3,2,26,8,5,2,,,2,,,1,3000,1,1,,35000,2
26,15,2,1,1,5,11,430,,6,52,526,,3,12,30,1,10,,,,,,,,,,,,,
26,17,2,2,1,5,10,415,,7,55,552,,3,12,7,4,9,,,,,,,,,,,,,
27,3,1,1,1,7,14,514,,4,40,401,,3,12,8,4,9,,,,,,,,,,,,,
27,4,1,1,1,11,18,997,,17,93,930,,3,12,30,5,9,,,,,,,,,,,,,
28,2,2,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
29,12,1,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
29,19,1,1,1,9,16,534,,14,90,900,,3,2,5,8,5,2,,,1,1000,1,2,,,,,15000,1
30,1,2,8,1,11,18,997,,16,92,921,,3,4,8,2,4,2,,,2,,,2,,,,,400000,2
30,17,2,1,1,5,11,430,,6,52,524,,3,12,5,2,10,,,,,,,,,,,,,
30,17,2,2,1,5,11,436,,7,55,552,,3,11,15,4,9,,,,,,,,,,,2,,
31,3,1,2,1,11,18,997,,17,93,930,,3,12,26,5,9,,,,,,,,,,,9,,
31,4,1,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
32,3,2,2,1,9,16,533,,7,55,551,,3,12,24,2,5,2,,,2,,,2,,,,,35000,2
32,4,2,2,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
32,4,2,8,1,5,10,423,,17,93,930,,3,11,30,3,9,,,,,,,,,,,,,
32,7,2,2,1,5,10,404,,3,25,251,,3,9,20,3,5,2,,,2,,,1,5000,1,2,,40000,2
32,9,2,1,1,2,6,116,,12,80,804,,3,12,15,4,9,,,,,,,,,,,,,
32,9,2,6,1,5,11,430,,6,52,524,,3,4,15,3,9,,,,,,,,,,,,,
33,10,1,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
33,10,1,5,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
33,14,1,2,1,5,11,445,,6,52,526,,3,6,26,9,9,,,,,,,,,,,,,
34,5,2,1,1,2,6,117,,12,80,801,,3,11,20,4,9,,,,,,,,,,,,,
34,12,2,1,1,5,11,445,,6,52,526,,3,2,30,2,9,,,,,,,,,,,,,
34,12,2,7,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
36,4,2,2,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
37,4,1,1,1,9,16,545,,14,90,900,,5,12,2,5,9,,,,,,,,,,,,,
37,5,1,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
37,5,1,5,1,7,14,475,,5,45,456,,3,12,10,7,3,2,,,2,,,2,,,,,175000,2
37,11,1,16,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
37,12,1,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
38,4,2,2,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
38,8,2,6,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
39,9,1,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
39,13,1,3,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
39,13,1,6,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
40,2,2,22,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
40,4,2,1,1,7,14,497,,3,20,201,,3,6,3,3,5,2,,,2,,,2,,,,,75000,2
40,4,2,2,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
40,7,2,1,1,5,11,445,,6,52,523,,3,12,30,4,9,,,,,,,,,,,,,
40,9,2,5,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
41,5,1,9,1,5,11,436,,7,55,552,,3,1,15,5,4,2,,,2,,,1,30000,2,9,4,65000,2
43,8,1,4,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
43,11,1,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
44,2,2,2,1,5,11,429,,6,52,526,,3,1,29,4,9,,,,,,,,,,,2,,
45,3,1,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
46,11,2,2,1,5,11,445,,6,52,523,,3,12,26,6,9,,,,,,,,,,,,,
47,9,1,2,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
