"grappe","menage","vague","membres__id","s06q00_0","s06q00","s06q01__1","s06q01__2","s06q01__3","s06q01__4","s06q01__5","s06q02","s06q03","s06q04","s06q04_autre","s06q05","s06q06","s06q06_autre","s06q07","s06q08","s06q09","s06q10","s06q11","s06q011_autre","s06q12","s06q12_autre","s06q13a","s06q13b","s06q14","s06q15","s06q16","s06q17","s06q18","s06q19"
2,1,2,2,1,,2,2,2,1,2,2,2,8,,,,,2,2,2,,,,,,,,,,,,,
2,1,2,3,1,,2,2,2,1,2,2,2,8,,,,,2,2,2,,,,,,,,,,,,,
2,1,2,6,1,,2,2,2,1,2,2,2,8,,,,,2,2,2,,,,,,,,,,,,,
2,1,2,7,1,,2,2,2,1,2,2,2,8,,,,,2,2,2,,,,,,,,,,,,,
2,1,2,8,1,,2,2,2,1,2,2,2,8,,,,,2,2,2,,,,,,,,,,,,,
2,1,2,1,1,,2,2,2,1,2,2,2,8,,,,,2,2,2,,,,,,,,,,,,,
2,3,2,2,1,,2,2,2,1,2,2,2,3,,,,,2,2,2,,,,,,,,,,,,,
2,3,2,4,2,2,2,2,2,2,2,,2,8,,,,,2,2,2,,,,,,,,,,,,,
2,3,2,3,2,2,2,2,2,2,2,,2,8,,,,,2,2,2,,,,,,,,,,,,,
2,4,2,1,1,,1,2,2,1,2,1,2,8,,,,,2,2,2,,,,,,,,,,,,,
2,4,2,4,1,,1,2,2,1,1,2,2,8,,,,,2,2,2,,,,,,,,,,,,,
2,4,2,2,1,,2,2,2,1,2,2,2,8,,,,,2,2,2,,,,,,,,,,,,,
2,5,2,3,2,2,2,2,2,1,2,2,2,3,,,,,2,2,2,,,,,,,,,,,,,
2,5,2,4,2,2,2,2,2,1,2,2,2,3,,,,,2,2,2,,,,,,,,,,,,,
2,5,2,2,1,,2,2,2,1,2,2,2,3,,,,,2,2,2,,,,,,,,,,,,,
2,6,2,1,1,,2,2,2,1,2,2,2,8,,,,,2,2,2,,,,,,,,,,,,,
2,7,2,1,1,,1,2,2,1,2,2,2,6,,,,,2,2,2,,,,,,,,,,,,,
2,8,2,1,1,,2,2,2,1,2,2,2,6,,,,,2,2,2,,,,,,,,,,,,,
2,12,2,7,1,,2,2,2,1,2,2,2,8,,,,,2,2,2,,,,,,,,,,,,,
2,12,2,6,1,,2,2,2,2,2,,2,6,,,,,2,2,2,,,,,,,,,,,,,
2,12,2,2,1,,2,2,2,1,2,2,2,8,,,,,2,2,2,,,,,,,,,,,,,
