"grappe","menage","vague","s01q00a","s07aq00","s07aq01b","s07aq02b","s07aq03b","s07aq04b","s07aq05b","s07aq06b","s07aq07b","s07aq08b","s07aq09b","s07aq10b","s07aq11b","s07aq12b","s07aq13b","s07aq14b","s07aq15b","s07aq16b","s07aq17b","s07aq18b","s07aq19b","s07aq20b","s07aq21b"
2,1,2,,2,1,10500,,4,,,4,,,4,,,4,,,4,,,4,,
2,3,2,,2,4,,,4,,,4,,,1,500,,4,,,1,1000,,4,,
2,4,2,,2,1,3000,,4,,,4,,,4,,,4,,,1,2000,,4,,
2,5,2,,2,4,,,1,1200,,1,5600,,1,1400,,4,,,1,500,,4,,
2,6,2,,1,1,7000,,2,,14000,4,,,4,,,4,,,4,,,4,,
2,7,2,,1,1,700,,1,14000,,1,14000,,4,,,4,,,4,,,4,,
2,8,2,,1,1,4900,,1,7000,,1,7000,,4,,,4,,,4,,,4,,
2,12,2,,1,1,7000,,4,,,4,,,4,,,4,,,4,,,4,,
2,13,2,,3,4,,,4,,,1,12600,,4,,,4,,,4,,,4,,
2,14,2,,2,1,3500,,1,16800,,1,3500,,4,,,4,,,4,,,4,,
2,15,2,,1,4,,,4,,,1,8500,,4,,,4,,,4,,,4,,
2,16,2,,2,4,,,4,,,4,,,1,1500,,4,,,1,1000,,4,,
3,2,1,,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
3,3,1,,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
3,4,1,,9,4,,,4,,,4,,,4,,,4,,,4,,,4,,
3,5,1,,2,1,1000,,1,1500,,4,,,1,600,,1,400,,1,2000,,4,,
3,6,1,,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
3,7,1,199,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
3,9,1,,2,1,1050,,4,,,4,,,4,,,4,,,4,,,4,,
3,13,1,,1,4,,,2,,7000,3,7500,7000,4,,,4,,,2,,1400,4,,
3,14,1,,2,4,,,4,,,4,,,4,,,4,,,4,,,4,,
3,15,1,,2,4,,,4,,,4,,,4,,,4,,,4,,,4,,
3,16,1,,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
3,17,1,,1,1,1000,,4,,,4,,,1,1500,,4,,,4,,,4,,
4,1,2,,1,1,3500,,1,4000,,1,3500,,4,,,1,350,,4,,,4,,
4,2,2,,1,1,7000,,4,,,1,7000,,4,,,1,350,,4,,,4,,
4,3,2,,1,4,,,4,,,1,4900,,1,1000,,4,,,4,,,4,,
