"grappe","menage","vague","membres__id","s07aq00","s07aq01","s07aq02","s07aq03","s07aq04","s07aq05","s07aq06","s07aq07","s07aq08","s07aq09","s07aq10","s07aq11","s07aq12","s07aq13","s07aq14","s07aq15","s07aq16","s07aq17","s07aq18","s07aq19","s07aq20","s07aq21"
2,1,2,16,7,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,1,2,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,1,2,3,3,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,1,2,8,8,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,1,2,14,7,1,750,,4,,,4,,,4,,,4,,,4,,,4,,
2,1,2,6,6,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,1,2,2,2,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,1,2,13,13,1,750,,4,,,4,,,4,,,4,,,4,,,4,,
2,1,2,7,7,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,3,2,3,2,4,,,4,,,4,,,1,400,,4,,,4,,,4,,
2,3,2,2,2,4,,,4,,,4,,,2,,300,2,,300,4,,,4,,
2,3,2,4,4,4,,,4,,,4,,,1,400,,4,,,4,,,4,,
2,4,2,4,1,4,,,4,,,4,,,2,,500,4,,,1,1000,,1,4000,
2,4,2,2,2,4,,,4,,,4,,,1,1000,,4,,,4,,,1,2000,
2,4,2,1,1,4,,,1,9500,,1,10000,,4,,,4,,,1,1000,,1,4000,
2,5,2,2,2,1,1400,,1,4200,,4,,,4,,,1,350,,4,,,4,,
2,5,2,4,4,2,,1800,2,,3000,4,,,1,200,,4,,,3,200,300,4,,
2,5,2,3,3,1,1400,,1,1050,,4,,,1,300,,1,200,,1,200,,4,,
2,6,2,2,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,6,2,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,6,2,4,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,7,2,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,8,2,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,12,2,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,12,2,2,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,12,2,5,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,12,2,7,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,12,2,3,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,12,2,6,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,13,2,2,2,1,2400,,1,3600,,4,,,4,,,1,450,,4,,,4,,
2,13,2,5,5,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,13,2,3,3,1,1400,,4,,,4,,,4,,,4,,,4,,,4,,
2,13,2,7,7,1,1850,,4,,,4,,,4,,,1,400,,4,,,4,,
2,13,2,8,8,1,1750,,4,,,4,,,4,,,4,,,4,,,4,,
2,14,2,4,2,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,14,2,3,2,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,14,2,2,2,4,,,4,,,4,,,4,,,4,,,1,350,,4,,
2,14,2,1,2,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,15,2,2,2,1,1400,,2,,4200,4,,,4,,,4,,,4,,,4,,
2,15,2,1,1,1,3100,,1,3000,,4,,,4,,,1,700,,1,800,,4,,
2,16,2,2,2,1,500,,4,,,4,,,1,400,,4,,,1,100,,4,,
2,16,2,4,4,4,,,4,,,4,,,1,1000,,4,,,1,500,,4,,
2,16,2,5,1,4,,,4,,,4,,,1,1250,,4,,,1,500,,4,,
2,16,2,3,3,4,,,4,,,4,,,1,1000,,4,,,1,500,,4,,
2,16,2,1,1,4,,,1,5000,,4,,,4,,,4,,,1,1400,,4,,
3,2,1,6,1,1,5000,,4,,,4,,,2,,2000,4,,,4,,,4,,
3,2,1,1,1,4,,,4,,,4,,,4,,,1,400,,4,,,4,,
3,3,1,1,1,1,3500,,4,,,1,7000,,1,700,,1,200,,1,350,,4,,
3,4,1,3,3,4,,,4,,,4,,,1,1000,,4,,,1,350,,4,,
3,4,1,7,7,4,,,4,,,4,,,1,1500,,4,,,3,650,200,4,,
3,4,1,4,4,4,,,1,5000,,4,,,3,1000,800,3,400,700,2,,1200,4,,
