"grappe","menage","vague","s09cq01","s09cq02","s09cq03"
2,1,2,306,1,6000
2,1,2,309,2,
2,1,2,305,2,
2,1,2,313,2,
2,1,2,320,2,
2,1,2,316,2,
2,1,2,301,2,
2,1,2,322,2,
2,1,2,304,2,
2,1,2,307,2,
2,1,2,317,1,750
2,1,2,321,2,
2,1,2,310,2,
2,1,2,303,1,2900
2,1,2,314,2,
2,1,2,319,2,
2,1,2,302,2,
2,1,2,311,2,
2,1,2,308,2,
2,1,2,324,2,
2,1,2,318,2,
2,1,2,323,2,
2,1,2,312,2,
2,1,2,315,2,
2,3,2,322,2,
2,3,2,310,2,
2,3,2,312,2,
2,3,2,306,1,1700
2,3,2,319,2,
2,3,2,315,2,
2,3,2,308,2,
2,3,2,316,1,600
2,3,2,318,1,700
2,3,2,301,2,
2,3,2,323,2,
2,3,2,307,1,250
2,3,2,314,2,
2,3,2,313,2,
2,3,2,302,2,
2,3,2,320,1,500
2,3,2,324,2,
2,3,2,303,2,
2,3,2,305,2,
2,3,2,317,1,500
2,3,2,321,1,1000
2,3,2,311,2,
2,3,2,309,2,
2,3,2,304,2,
2,4,2,324,2,
2,4,2,318,1,1000
2,4,2,312,2,
2,4,2,303,1,4500
2,4,2,320,1,1000
2,4,2,308,2,
2,4,2,321,1,5500
2,4,2,305,2,
2,4,2,309,1,10000
2,4,2,313,2,
2,4,2,314,1,15000
2,4,2,323,2,
2,4,2,322,2,
2,4,2,316,1,4000
2,4,2,306,1,3000
2,4,2,310,2,
2,4,2,317,1,2000
2,4,2,307,1,1500
2,4,2,311,1,3000
2,4,2,301,1,7500
2,4,2,319,1,1000
2,4,2,304,2,
2,4,2,302,1,5500
2,4,2,315,2,
2,5,2,302,2,
2,5,2,309,2,
2,5,2,312,2,
2,5,2,316,2,
2,5,2,324,2,
2,5,2,319,2,
2,5,2,321,1,500
2,5,2,304,2,
2,5,2,305,2,
2,5,2,314,2,
2,5,2,310,2,
2,5,2,317,1,500
2,5,2,313,2,
2,5,2,320,1,1500
2,5,2,322,2,
2,5,2,308,2,
2,5,2,323,2,
2,5,2,307,1,500
2,5,2,311,2,
2,5,2,303,1,1500
2,5,2,318,1,500
2,5,2,306,1,700
2,5,2,301,2,
2,5,2,315,2,
2,6,2,320,2,
2,6,2,309,1,25000
2,6,2,315,2,
2,6,2,305,2,
2,6,2,324,2,
2,6,2,303,1,12000
2,6,2,321,2,
2,6,2,318,1,500
2,6,2,316,2,
2,6,2,311,2,
2,6,2,312,2,
2,6,2,322,2,
2,6,2,304,2,
2,6,2,302,2,
2,6,2,319,1,1000
2,6,2,314,2,
2,6,2,323,2,
2,6,2,310,2,
2,6,2,308,1,50000
2,6,2,306,1,4000
2,6,2,301,2,
2,6,2,313,2,
2,6,2,307,2,
2,6,2,317,1,500
2,7,2,305,2,
2,7,2,307,2,
2,7,2,316,2,
2,7,2,313,2,
2,7,2,311,2,
2,7,2,310,2,
2,7,2,302,1,17000
2,7,2,303,2,
2,7,2,312,2,
2,7,2,309,1,12000
2,7,2,306,1,3000
2,7,2,301,1,47500
2,7,2,322,2,
2,7,2,323,2,
2,7,2,308,2,
2,7,2,315,2,
2,7,2,320,2,
2,7,2,319,1,2000
2,7,2,304,2,
2,7,2,318,2,
2,7,2,314,2,
2,7,2,324,2,
2,7,2,317,1,7000
2,7,2,321,1,10000
2,8,2,306,1,1500
2,8,2,311,2,
2,8,2,317,1,1200
2,8,2,322,2,
2,8,2,304,2,
2,8,2,320,2,
2,8,2,321,2,
2,8,2,309,2,
2,8,2,316,2,
2,8,2,315,2,
2,8,2,319,2,
2,8,2,313,2,
2,8,2,310,2,
2,8,2,323,2,
2,8,2,303,2,
2,8,2,305,2,
2,8,2,318,1,1000
2,8,2,301,2,
2,8,2,308,2,
2,8,2,324,2,
2,8,2,307,2,
2,8,2,314,2,
2,8,2,312,2,
2,8,2,302,2,
2,12,2,322,2,
2,12,2,324,2,
2,12,2,302,2,
2,12,2,313,2,
2,12,2,306,1,3500
2,12,2,303,1,4800
2,12,2,310,2,
2,12,2,323,2,
2,12,2,321,2,
2,12,2,304,2,
2,12,2,316,2,
2,12,2,311,2,
2,12,2,305,2,
2,12,2,307,2,
2,12,2,318,1,500
2,12,2,309,2,
2,12,2,312,2,
2,12,2,320,2,
2,12,2,301,2,
2,12,2,315,2,
2,12,2,317,1,500
2,12,2,319,2,
2,12,2,314,2,
2,12,2,308,2,
2,13,2,311,2,
2,13,2,315,2,
2,13,2,306,1,2000
2,13,2,310,2,
2,13,2,304,2,
2,13,2,324,2,
2,13,2,307,2,
2,13,2,322,2,
2,13,2,319,2,
2,13,2,309,2,
2,13,2,317,1,5000
2,13,2,305,2,
2,13,2,302,2,
2,13,2,312,2,
2,13,2,323,2,
2,13,2,301,2,
2,13,2,308,2,
2,13,2,313,2,
2,13,2,314,2,
2,13,2,316,1,6500
2,13,2,318,1,2500
2,13,2,320,1,1500
2,13,2,321,1,12000
2,13,2,303,1,9000
2,14,2,301,2,
2,14,2,320,1,3000
2,14,2,303,1,2900
2,14,2,324,2,
2,14,2,305,2,
2,14,2,313,2,
2,14,2,321,1,2000
2,14,2,306,2,
2,14,2,311,2,
2,14,2,309,2,
2,14,2,314,2,
2,14,2,307,2,
2,14,2,316,2,
2,14,2,315,2,
2,14,2,319,2,
2,14,2,308,2,
2,14,2,317,2,
2,14,2,304,2,
2,14,2,322,2,
2,14,2,302,2,
2,14,2,312,2,
2,14,2,323,2,
2,14,2,318,2,
2,14,2,310,2,
2,15,2,303,2,
2,15,2,304,2,
2,15,2,302,2,
2,15,2,305,2,
2,15,2,316,2,
2,15,2,317,1,1350
2,15,2,306,1,1000
2,15,2,309,2,
2,15,2,322,2,
2,15,2,308,2,
2,15,2,321,1,2500
2,15,2,312,2,
2,15,2,313,2,
2,15,2,318,2,
2,15,2,314,2,
2,15,2,310,2,
2,15,2,320,2,
2,15,2,324,2,
2,15,2,319,2,
2,15,2,323,2,
2,15,2,311,2,
2,15,2,301,2,
2,15,2,307,1,1000
2,15,2,315,2,
2,16,2,318,1,1000
2,16,2,305,2,
2,16,2,301,2,
2,16,2,312,2,
2,16,2,313,2,
2,16,2,322,2,
2,16,2,304,2,
2,16,2,320,1,800
2,16,2,323,2,
2,16,2,317,1,1000
2,16,2,303,1,2900
2,16,2,309,2,
2,16,2,316,1,1700
2,16,2,310,2,
2,16,2,306,1,2000
2,16,2,321,1,2000
2,16,2,311,2,
2,16,2,324,1,200
2,16,2,307,2,
2,16,2,314,2,
2,16,2,315,2,
2,16,2,319,2,
2,16,2,302,2,
2,16,2,308,2,
3,2,1,317,1,8800
3,2,1,310,2,
3,2,1,313,2,
3,2,1,311,1,18000
3,2,1,314,2,
3,2,1,303,1,15800
3,2,1,305,2,
3,2,1,315,2,
3,2,1,322,1,4000
3,2,1,324,1,3750
3,2,1,309,1,25000
3,2,1,306,1,2000
3,2,1,307,2,
3,2,1,312,1,15000
3,2,1,318,1,4500
3,2,1,316,1,7000
3,2,1,323,1,5000
3,2,1,320,2,
3,2,1,319,1,4000
3,2,1,301,2,
3,2,1,308,1,60000
3,2,1,304,2,
3,2,1,321,1,7000
3,2,1,302,2,
3,3,1,309,2,
3,3,1,318,2,
3,3,1,303,1,2900
3,3,1,301,2,
3,3,1,324,2,
3,3,1,308,2,
3,3,1,323,2,
3,3,1,320,2,
3,3,1,305,2,
3,3,1,313,2,
3,3,1,312,2,
3,3,1,319,2,
3,3,1,302,2,
3,3,1,307,2,
3,3,1,316,1,500
3,3,1,315,2,
3,3,1,321,2,
3,3,1,306,1,650
3,3,1,322,2,
3,3,1,317,1,1000
3,3,1,310,2,
3,3,1,304,2,
3,3,1,314,2,
3,3,1,311,2,
3,4,1,313,2,
3,4,1,315,2,
3,4,1,308,2,
3,4,1,320,1,3000
3,4,1,314,2,
3,4,1,318,1,3800
3,4,1,311,2,
3,4,1,317,1,5000
3,4,1,306,1,3000
3,4,1,322,1,2000
3,4,1,305,1,600
3,4,1,323,2,
3,4,1,312,2,
3,4,1,310,2,
3,4,1,307,2,
3,4,1,301,2,
3,4,1,321,1,13500
3,4,1,319,2,
3,4,1,324,2,
3,4,1,302,2,
3,4,1,304,2,
3,4,1,316,1,7000
3,4,1,303,1,5800
3,4,1,309,1,15000
3,5,1,302,2,
3,5,1,321,1,5500
3,5,1,305,2,
3,5,1,309,1,4000
3,5,1,324,2,
3,5,1,316,1,2200
3,5,1,307,1,500
3,5,1,306,1,1200
3,5,1,313,2,
3,5,1,315,2,
3,5,1,308,2,
3,5,1,317,1,1000
3,5,1,318,1,800
3,5,1,314,2,
3,5,1,320,1,11500
3,5,1,319,2,
3,5,1,310,2,
3,5,1,322,1,1000
3,5,1,311,2,
3,5,1,301,2,
3,5,1,323,2,
3,5,1,303,1,4700
3,5,1,312,2,
3,5,1,304,2,
3,6,1,305,2,
3,6,1,311,2,
3,6,1,318,2,
3,6,1,310,2,
3,6,1,322,2,
3,6,1,304,2,
3,6,1,316,1,2000
3,6,1,319,2,
3,6,1,317,1,1250
3,6,1,314,2,
3,6,1,308,2,
3,6,1,312,2,
3,6,1,323,2,
3,6,1,321,2,
3,6,1,313,2,
3,6,1,301,2,
3,6,1,315,2,
3,6,1,303,1,2900
3,6,1,309,1,8000
3,6,1,320,2,
3,6,1,306,1,1550
3,6,1,324,2,
3,6,1,307,2,
3,6,1,302,2,
3,7,1,305,2,
3,7,1,309,2,
3,7,1,316,2,
3,7,1,303,2,
3,7,1,311,2,
3,7,1,308,2,
3,7,1,313,2,
3,7,1,324,2,
3,7,1,322,2,
3,7,1,318,1,500
3,7,1,304,2,
3,7,1,301,2,
3,7,1,312,2,
3,7,1,317,1,700
3,7,1,319,2,
3,7,1,306,1,200
3,7,1,307,2,
3,7,1,320,2,
3,7,1,323,2,
3,7,1,321,1,1000
3,7,1,315,2,
3,7,1,314,2,
3,7,1,302,2,
3,7,1,310,2,
3,9,1,318,2,
3,9,1,322,1,300
3,9,1,319,2,
3,9,1,307,2,
3,9,1,315,2,
3,9,1,314,2,
3,9,1,320,1,500
3,9,1,309,2,
3,9,1,301,2,
3,9,1,323,2,
3,9,1,312,2,
3,9,1,303,1,5800
3,9,1,317,1,750
3,9,1,321,1,1500
3,9,1,316,2,
3,9,1,310,2,
3,9,1,313,2,
3,9,1,311,2,
3,9,1,306,1,2000
3,9,1,308,2,
3,9,1,305,2,
3,9,1,324,2,
3,9,1,302,2,
3,9,1,304,2,
3,13,1,317,1,350
3,13,1,302,2,
3,13,1,310,2,
3,13,1,301,2,
3,13,1,322,1,400
3,13,1,309,2,
3,13,1,324,1,200
3,13,1,318,2,
3,13,1,303,1,5800
3,13,1,311,2,
3,13,1,316,1,2000
3,13,1,315,2,
3,13,1,314,2,
3,13,1,313,2,
3,13,1,304,2,
3,13,1,307,2,
3,13,1,308,2,
3,13,1,305,1,200
3,13,1,320,1,1600
3,13,1,323,2,
3,13,1,321,1,800
3,13,1,319,2,
3,13,1,312,2,
3,13,1,306,1,1300
3,14,1,303,1,2900
3,14,1,305,2,
3,14,1,320,1,1000
3,14,1,310,2,
3,14,1,321,1,2500
3,14,1,307,1,100
3,14,1,318,1,2500
3,14,1,302,2,
3,14,1,308,2,
3,14,1,313,2,
3,14,1,306,1,5500
3,14,1,315,2,
3,14,1,322,1,350
3,14,1,304,2,
3,14,1,323,2,
3,14,1,324,2,
3,14,1,319,2,
3,14,1,316,1,1000
3,14,1,317,1,1500
3,14,1,301,2,
3,14,1,311,2,
3,14,1,314,2,
3,14,1,309,2,
3,14,1,312,2,
3,15,1,306,2,
3,15,1,308,2,
3,15,1,323,2,
3,15,1,302,2,
3,15,1,321,2,
3,15,1,307,2,
3,15,1,301,2,
3,15,1,319,2,
3,15,1,318,2,
3,15,1,322,1,500
3,15,1,305,2,
3,15,1,311,2,
3,15,1,309,1,750
3,15,1,303,2,
3,15,1,313,2,
3,15,1,317,1,600
3,15,1,316,2,
3,15,1,320,2,
3,15,1,314,2,
3,15,1,315,2,
3,15,1,312,2,
3,15,1,304,2,
3,15,1,324,2,
3,15,1,310,2,
3,16,1,307,2,
3,16,1,317,1,1000
3,16,1,316,1,1000
3,16,1,323,2,
3,16,1,303,2,
3,16,1,314,2,
3,16,1,315,2,
3,16,1,320,2,
3,16,1,319,2,
3,16,1,318,2,
3,16,1,309,1,3000
3,16,1,304,2,
3,16,1,306,2,
3,16,1,305,2,
3,16,1,313,2,
3,16,1,324,2,
3,16,1,301,2,
3,16,1,312,2,
3,16,1,308,2,
3,16,1,311,2,
3,16,1,321,2,
3,16,1,302,2,
3,16,1,310,2,
3,16,1,322,2,
3,17,1,322,2,
3,17,1,309,2,
3,17,1,318,1,1500
3,17,1,304,2,
3,17,1,305,2,
3,17,1,320,1,3000
3,17,1,316,2,
3,17,1,307,1,1000
3,17,1,302,2,
