"grappe","menage","vague","s10q00","s10q13","s10q15__0","s10q15__1","s10q16","s10q17a","s10q17b","s10q17c","s10q18a","s10q18__0","s10q18__1","s10q19a","s10q19__0","s10q19__1","s10q20","s10q21","s10q22","s10q23","s10q23_autre","s10q24","s10q25","s10q26","s10q27","s10q28","s10q29","s10q30","s10q31","s10q32","s10q33","s10q33_autre","s10q34","s10q34_autre","s10q35","s10q36","s10q37","s10q38","s10q39","s10q40","s10q41","s10q42","s10q43","s10q44","s10q45a","s10q45a_covid","s10q45b_covid","s10q45b","s10q45c","s10q45d","s10q45e","s10q45f","s10q45g","s10q45h","s10q45i","s10q45i_covid","s10q45j","s10q45k","s10q45l","s10q45m","s10q45n","s10q45n_covid","s10q45o","s10q46","s10q47","s10q48","s10q49","s10q50","s10q51","s10q52","s10q53","s10q54","s10q55","s10q56","s10q57","s10q57a","s10q57b","s10q58","s10q59","s10q60","s10q60_autre","s10q62_a","s10q62_b_1","s10q62_b_2","s10q62_b_3","s10q62_b_4","s10q61a_1","s10q61b_1","s10q61c_1","s10q61d_1","s10q61_1","s10q61a_2","s10q61b_2","s10q61c_2","s10q61d_2","s10q61_2","s10q61a_3","s10q61b_3","s10q61c_3","s10q61d_3","s10q61_3","s10q61a_4","s10q61b_4","s10q61c_4","s10q61d_4","s10q61_4","s10q61a_5","s10q61b_5","s10q61c_5","s10q61d_5","s10q61_5","s10q61a_6","s10q61b_6","s10q61c_6","s10q61d_6","s10q61_6","s10q62a_1","s10q62b_1","s10q62c_1","s10q62d_1","s10q62a_2","s10q62b_2","s10q62c_2","s10q62d_2","s10q62a_3","s10q62b_3","s10q62c_3","s10q62d_3","s10q62a_4","s10q62b_4","s10q62c_4","s10q62d_4","s10q61a_7","s10q61b_7","s10q61c_7","s10q61d_7","s10q61_7","s10q61a_8","s10q61b_8","s10q61c_8","s10q61d_8","s10q61_8"
2,1,2,2,2,2,,"location de chaise",17,93,930,2,,,2,,,2000,0,,4,,,,,,1,3,2,2,3,1,,1,,2,,2,,2,,2,,2,6,2,2,1,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,2,0,0,0,0,250000,0,0,0,0,0,0,0,5,,1,12,,,2,4,4,4,4,1,12,10,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,
2,1,2,1,6,6,,"il est peintre",17,93,930,2,,,2,,,2016,0,,5,,,,,,1,3,2,2,2,1,,1,,2,,2,,2,,2,,3,6,1,1,1,2,2,2,2,3,3,3,3,1,3,3,2,3,3,1,3,0,0,0,0,300000,25000,0,0,0,0,0,0,5,,2,8,3,,2,4,4,4,4,1,12,20,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,7,75000,0,,,,0,,,,0,,,,,,,,,,,,,
2,1,2,3,7,7,,"elle est restauratrice",7,55,552,2,,,2,,,2018,0,,4,,,,,,1,3,2,2,2,1,,1,,2,,2,,2,,1,75000,6,3,2,2,1,2,2,2,2,2,2,3,2,1,2,2,2,2,2,1,2,0,0,0,0,300000,35000,0,0,0,0,0,0,5,,2,2,1,,1,4,4,4,4,1,2,26,12,7,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,
2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7,2,1,1,1,,"ustensiles de cuisine",6,52,526,1,1,,1,1,,2015,0,,5,,,,,,1,3,2,2,2,1,,1,,2,,2,,2,,2,,3,6,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,170000,100000,0,0,0,20000,15000,0,5000,0,0,0,5,,1,12,,,2,4,4,4,4,1,12,20,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,
2,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,12,2,2,1,1,,"vente de fataya",6,52,523,2,,,2,,,2020,0,,4,,,,,,1,3,2,2,3,1,,1,,2,,2,,2,,1,35000,5,6,3,1,2,2,2,2,2,2,2,2,2,2,3,3,2,3,3,2,3,0,0,200000,100000,0,0,0,0,0,0,0,0,5,,1,12,,,2,2,2,2,2,1,12,20,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,
