"grappe","menage","vague","s13q09a","s13q10","s13q11","s13q12","s13q12_autre","s13q13","s13q14","s13q15","s13q16","s13q16_autre","s13q17","s13q18","s13q19","s13q19_autre","s13q20","s13q20_autre","s13q21","s13q21_autre","s13q22a","s13q22b","s13q23"
2,1,2,1,1,1,2,,1,40,3,4,,1,30,20,,3,,1,,50000,1,1
2,3,2,1,2,3,3,,2,33,4,3,,2,,5,,1,,4,,30000,1,3
2,3,2,2,2,2,1,,1,59,3,9,,2,,1,,3,,6,,30000,1,2
2,4,2,1,1,1,3,,2,65,5,2,,2,,19,"centre afrique",3,,2,,300000,1,1
2,4,2,3,2,2,5,"oncle",1,38,5,9999,,2,,23,,3,,1,,100000,1,2
2,4,2,2,2,2,3,,2,43,5,2,,2,,19,"centre afrique",3,,1,,100000,1,2
2,5,2,1,2,2,1,,1,50,2,9,,2,,1,,3,,6,,30000,1,2
2,6,2,1,1,1,2,,2,35,5,3,,1,20,24,"turquie",3,,1,,250000,1,1
2,6,2,2,1,1,2,,1,40,5,1,,1,25,20,,3,,1,,250000,1,1
2,7,2,1,1,1,6,,1,55,6,9999,,2,,17,,2,,1,,100000,1,1
2,8,2,,,,,,,,,,,,,,,,,,,,,
2,12,2,,,,,,,,,,,,,,,,,,,,,
2,13,2,,,,,,,,,,,,,,,,,,,,,
2,14,2,,,,,,,,,,,,,,,,,,,,,
2,15,2,,,,,,,,,,,,,,,,,,,,,
2,16,2,,,,,,,,,,,,,,,,,,,,,
3,2,1,,,,,,,,,,,,,,,,,,,,,
3,3,1,1,1,1,4,,1,45,6,9999,,2,,20,,6,,4,,50000,5,1
3,3,1,2,1,1,6,,1,51,6,9999,,2,,2,,10,"soutient pour alimentation",4,,10000,1,1
3,4,1,2,9,13,5,"c' est les parents de la personne qui a épousé  ma soeur c était la dot",1,9999,6,9999,,2,,1,,6,,6,,1000000,5,9
3,4,1,1,4,4,3,,1,9999,3,9,,2,,19,"Gabon",3,,1,,150000,1,4
3,5,1,1,2,2,5,"cousine",2,45,3,9,,2,,1,,6,,2,,200000,5,2
3,5,1,3,2,2,6,,1,30,6,9,,2,,1,,10,"bapteme",4,,15000,5,2
3,5,1,4,2,2,6,,1,42,6,4,,2,,20,,10,"ceremonie du bapteme",4,,70000,5,2
3,5,1,2,2,2,4,,1,34,3,3,,1,30,21,,10,"bapteme",4,,46000,5,1
3,6,1,1,1,1,5,"son neveu",1,39,6,9999,,2,,20,,3,,1,,650000,5,1
3,6,1,2,1,1,2,,1,43,6,9999,,2,,20,,3,,1,,150000,1,1
3,7,1,2,1,1,6,,2,9999,5,2,,2,,1,,3,,6,,50000,1,1
3,7,1,1,1,1,6,,1,9999,5,1,,2,,1,,3,,6,,25000,1,1
3,7,1,3,1,1,6,,1,9999,5,2,,2,,1,,6,,6,,200000,5,1
3,9,1,1,1,1,4,,1,40,1,9999,,2,,24,"Belgique",10,"Depenses quotidiennes",1,,100000,5,1
3,13,1,1,1,1,6,,2,50,6,9999,,2,,1,,10,"Depenses quotidienne",6,,5000,5,1
3,14,1,1,2,2,5,"cousine",2,9999,6,9999,,2,,20,,9,,1,,15000,5,2
3,14,1,2,2,2,5,"nièce",2,9999,6,9999,,2,,20,,9,,1,,15000,5,2
3,14,1,5,2,2,5,"cousin",1,9999,6,9999,,2,,1,,9,,4,,10000,5,2
3,14,1,4,4,4,1,,1,35,2,3,,2,,20,,10,"depenses quotidienne",1,,40000,1,4
3,14,1,3,2,2,5,"beau fils",1,9999,6,9999,,2,,20,,10,"voyage",1,,50000,5,2
3,15,1,,,,,,,,,,,,,,,,,,,,,
3,16,1,1,1,1,4,,2,33,4,9,,2,,20,,5,,4,,195000,5,1
3,16,1,2,1,1,5,"oncle",1,9999,6,9999,,2,,21,,5,,1,,130000,5,1
3,17,1,3,1,1,5,"cousin",1,42,6,9999,,2,,1,,2,,4,,50000,5,1
3,17,1,1,1,1,4,,2,50,6,9999,,1,20,20,,2,,4,,65000,1,1
3,17,1,2,1,1,5,"cousin",1,39,6,9999,,2,,1,,10,"alimentation",4,,40000,1,1
4,1,2,,,,,,,,,,,,,,,,,,,,,
4,2,2,,,,,,,,,,,,,,,,,,,,,
4,3,2,2,1,1,4,,1,48,3,3,,1,24,1,,3,,6,,50000,1,1
4,3,2,1,1,1,5,"niece",2,32,6,9,,2,,1,,6,,4,,30000,5,1
4,3,2,3,3,10,1,,1,50,6,3,,2,,7,,3,,4,,40000,1,3
4,4,2,1,1,1,5,"neveux",1,45,6,9999,,2,,23,,2,,1,,200000,2,1
4,4,2,2,5,5,6,,1,34,5,9,,2,,1,,3,,4,,20000,1,5
4,5,2,,,,,,,,,,,,,,,,,,,,,
4,7,2,,,,,,,,,,,,,,,,,,,,,
4,8,2,,,,,,,,,,,,,,,,,,,,,
4,9,2,,,,,,,,,,,,,,,,,,,,,
4,11,2,,,,,,,,,,,,,,,,,,,,,
4,12,2,1,1,1,2,,2,30,2,9999,,1,5,24,"canada",3,,1,,150000,5,1
4,13,2,,,,,,,,,,,,,,,,,,,,,
5,2,1,4,28,28,4,,2,48,4,3,,2,,2,,3,,6,,25000,1,28
5,2,1,2,1,1,5,"neveu",1,33,5,9999,,2,,23,,3,,1,,200000,1,1
5,2,1,5,25,25,1,,1,32,2,9,,2,,21,,3,,1,,50000,1,25
5,2,1,3,1,1,5,"neveu",1,33,2,9999,,2,,23,,3,,1,,300000,1,1
5,2,1,1,1,1,4,,2,49,2,9999,,1,23,23,,10,"renovation maison familiale",1,,7000000,5,1
5,4,1,1,2,1,2,,1,45,5,3,,1,10,22,,10,"loyer et alimtation",4,,150000,1,2
5,5,1,4,6,6,1,,1,37,4,9999,,2,,21,,10,"dèpense  quotidienne",4,,300000,1,6
5,5,1,3,1,1,2,,1,44,2,9999,,1,12,24,"Portugal",10,"depenses quotidienne",1,,150000,1,1
5,5,1,1,1,1,2,,1,51,3,9999,,1,30,23,,10,"depense quotidienne",1,,200000,1,1
5,5,1,2,1,1,2,,1,48,2,9999,,1,19,22,,10,"depenses  quotidienne",1,,80000,1,1
5,6,1,1,5,5,4,,1,9999,2,9,,1,6,3,,3,,6,,50000,1,5
5,7,1,1,9,9,1,,1,40,5,2,,2,,1,,10,"depenses quotidiene",4,,80000,1,9
5,9,1,2,2,2,6,,1,38,6,2,,2,,1,,6,,4,,100000,5,2
5,9,1,1,2,1,4,,2,52,6,9,,2,,1,,2,,6,,50000,5,2
5,10,1,3,7,7,4,,2,9999,5,1,,2,,3,,3,,4,,100000,1,7
5,10,1,1,13,13,1,,1,29,4,9999,,2,,24,"Angleterre",3,,1,,100000,1,13
5,10,1,2,6,6,4,,2,9999,5,2,,2,,2,,2,,6,,200000,1,6
5,10,1,4,1,1,2,,1,29,4,3,,2,,24,"angleterre",6,,1,,350000,5,1
5,11,1,4,3,3,5,"cousin",1,34,4,9999,,2,,1,,6,,4,,50000,5,3
5,11,1,5,6,6,4,,2,30,5,3,,2,,1,,3,,4,,20000,1,6
5,11,1,3,3,3,6,,1,35,5,3,,2,,24,"grece",6,,1,,100000,5,3
5,11,1,2,5,5,2,,2,41,3,9,,1,8,1,,3,,6,,40000,1,5
5,11,1,1,5,5,2,,1,44,4,3,,1,15,1,,3,,6,,50000,1,5
5,12,1,1,4,4,4,,1,40,4,9999,,1,8,20,,10,"deces de la maman",1,,250000,5,4
5,13,1,1,1,1,5,"neveux",1,35,6,9999,,2,,23,,10,"besoins personels",1,,35000,5,1
5,14,1,,,,,,,,,,,,,,,,,,,,,
5,15,1,2,1,1,2,,2,9999,6,9999,,1,20,20,,10,"dèpenses  quotidiennes",1,,200000,5,1
5,15,1,3,1,1,2,,2,9999,6,9999,,1,20,20,,10,"depenses quotidiennes",1,,200000,5,1
5,15,1,1,1,1,2,,2,62,6,9999,,1,30,20,,10,"depenses  quotidiennes",1,,250000,5,1
5,15,1,4,2,2,4,,2,62,3,9999,,1,20,20,,5,,1,,250000,5,2
6,2,2,,,,,,,,,,,,,,,,,,,,,
6,3,2,,,,,,,,,,,,,,,,,,,,,
6,4,2,,,,,,,,,,,,,,,,,,,,,
6,5,2,,,,,,,,,,,,,,,,,,,,,
6,6,2,2,4,4,5,"tante",2,9999,5,1,,1,24,19,"Thiade",3,,2,,150000,1,2
6,6,2,1,2,2,4,,1,45,5,1,,2,,19,"Afrique du sud",3,,2,,300000,1,2
6,6,2,3,3,3,4,,1,42,5,2,,2,,20,,3,,1,,150000,1,3
6,7,2,,,,,,,,,,,,,,,,,,,,,
6,8,2,,,,,,,,,,,,,,,,,,,,,
6,10,2,,,,,,,,,,,,,,,,,,,,,
6,11,2,,,,,,,,,,,,,,,,,,,,,
6,12,2,1,1,1,2,,2,40,2,4,,2,,21,,3,,4,,25000,1,1
6,12,2,2,1,1,4,,2,67,1,9,,2,,1,,6,,6,,100000,5,1
6,13,2,1,7,7,4,,2,34,5,2,,2,,20,,3,,1,,100000,1,7
6,13,2,2,7,7,4,,1,40,5,9,,2,,23,,3,,4,,50000,1,7
6,14,2,1,1,1,2,,2,38,3,9,,1,15,1,,3,,4,,50000,5,1
6,14,2,2,1,1,2,,2,36,3,3,,1,10,2,,3,,6,,50000,5,1
7,1,1,,,,,,,,,,,,,,,,,,,,,
7,2,1,1,1,1,6,,1,55,5,1,,2,,2,,3,,6,,500000,5,1
7,3,1,1,1,2,2,,2,30,5,3,,1,7,20,,6,,4,,100000,5,2
7,13,1,1,2,2,2,,2,57,4,9,,1,10,1,,10,"dèpense quotidienne",4,,40000,1,2
7,13,1,3,2,2,2,,1,42,4,9,,1,8,1,,10,"dèpenses quotidienne",4,,50000,1,2
7,13,1,2,2,2,2,,1,37,5,9,,1,7,1,,10,"depenses quotidienne",4,,50000,1,2
7,14,1,2,1,1,6,,1,9999,6,9999,,2,,1,,6,,6,,30000,5,1
7,14,1,1,1,1,6,,1,9999,6,9999,,2,,1,,6,,6,,50000,5,1
7,15,1,1,2,1,2,,1,59,5,1,,1,35,23,,2,,1,,1000000,1,2
7,15,1,2,2,1,2,,1,43,5,1,,1,9,1,,3,,6,,500000,1,2
7,16,1,,,,,,,,,,,,,,,,,,,,,
7,17,1,1,1,1,2,,2,35,5,2,,2,,2,,3,,6,,300000,1,1
8,2,2,,,,,,,,,,,,,,,,,,,,,
8,3,2,2,1,1,4,,1,30,5,2,,2,,1,,3,,4,,150000,5,1
8,3,2,1,1,1,4,,1,30,5,2,,2,,1,,3,,4,,200000,5,1
8,5,2,2,1,1,5,"cousin",1,51,5,2,,2,,1,,3,,4,,200000,2,1
8,5,2,1,2,2,4,,1,48,5,3,,2,,23,,3,,1,,100000,5,2
8,7,2,,,,,,,,,,,,,,,,,,,,,
8,8,2,,,,,,,,,,,,,,,,,,,,,
8,9,2,1,1,1,6,,1,35,6,9,,2,,2,,3,,6,,15000,5,1
8,10,2,,,,,,,,,,,,,,,,,,,,,
8,12,2,2,2,1,2,,1,39,3,9999,,1,10,20,,3,,1,,50000,1,1
8,12,2,1,2,1,2,,2,20,5,12,,1,1,20,,3,,1,,35000,5,1
8,13,2,1,2,3,5,"sa grand mere",2,63,5,11,,2,,11,,1,,4,,120000,1,2
8,14,2,,,,,,,,,,,,,,,,,,,,,
8,15,2,1,1,1,2,,2,28,3,5,,1,20,20,,3,,1,,100000,1,1
8,15,2,2,1,1,2,,1,35,5,9999,,1,25,20,,3,,1,,100000,1,1
8,15,2,3,1,1,2,,1,30,5,9999,,1,23,20,,3,,1,,50000,1,1
8,16,2,1,1,1,2,,2,42,5,9999,,1,17,21,,2,,1,,75000,1,1
9,2,1,3,3,3,5,"son cousin",1,9999,6,4,,2,,22,,6,,1,,15000,5,3
9,2,1,2,3,3,5,"son cousin",1,41,3,9,,2,,21,,6,,1,,45000,4,3
9,2,1,1,3,3,5,"son cousin",1,33,2,9,,2,,21,,3,,1,,150000,4,3
9,5,1,2,1,1,6,,2,37,6,9,,2,,1,,6,,6,,50000,5,1
9,5,1,1,6,6,6,,1,43,6,9999,,2,,1,,1,,4,,25000,5,6
9,6,1,,,,,,,,,,,,,,,,,,,,,
9,7,1,1,1,1,5,"tante",2,46,6,9999,,2,,2,,10,"loyer",4,,25000,1,1
9,7,1,2,1,2,6,,1,9999,6,9999,,2,,1,,2,,6,,10000,5,1
9,8,1,3,1,1,5,"petit-fils",1,9999,6,9999,,2,,20,,2,,1,,25000,5,1
9,8,1,1,1,1,5,"cousine",2,9999,6,9999,,2,,22,,2,,1,,50000,5,1
9,8,1,2,1,1,6,,2,9999,6,9999,,2,,2,,5,,4,,145000,5,1
9,9,1,1,2,2,4,,2,45,5,3,,1,10,24,"Allemagne",8,,1,,700000,2,2
9,9,1,2,5,5,4,,1,52,5,3,,1,17,24,"Allemagne",8,,1,,2650000,5,5
9,9,1,3,2,2,4,,1,60,3,9,,1,30,24,"Allemagne",3,,1,,350000,1,2
9,10,1,2,1,1,5,"oncle",1,50,6,9999,,2,,1,,6,,6,,50000,5,1
9,10,1,1,1,1,5,"neveux",1,43,4,2,,1,35,2,,6,,6,,100000,2,1
9,11,1,1,1,1,2,,1,26,2,3,,2,,2,,10,"sans raison",6,,20000,5,1
9,12,1,,,,,,,,,,,,,,,,,,,,,
9,13,1,,,,,,,,,,,,,,,,,,,,,
9,14,1,,,,,,,,,,,,,,,,,,,,,
9,15,1,,,,,,,,,,,,,,,,,,,,,
10,1,2,,,,,,,,,,,,,,,,,,,,,
10,2,2,,,,,,,,,,,,,,,,,,,,,
10,3,2,1,1,1,2,,1,40,3,9999,,1,30,20,,3,,1,,100000,5,1
10,4,2,,,,,,,,,,,,,,,,,,,,,
10,5,2,1,1,1,4,,2,52,3,9999,,2,,20,,6,,1,,300000,5,1
10,5,2,2,1,1,4,,1,57,3,9,,2,,23,,6,,1,,250000,5,1
10,6,2,,,,,,,,,,,,,,,,,,,,,
10,7,2,,,,,,,,,,,,,,,,,,,,,
10,8,2,,,,,,,,,,,,,,,,,,,,,
10,12,2,1,5,5,6,,1,45,5,3,,2,,20,,6,,1,,75000,5,5
10,12,2,3,5,5,6,,1,45,3,4,,2,,20,,3,,1,,20000,5,5
10,12,2,2,5,5,5,"cousin",1,40,5,4,,2,,20,,3,,1,,30000,5,5
10,13,2,,,,,,,,,,,,,,,,,,,,,
10,14,2,,,,,,,,,,,,,,,,,,,,,
10,15,2,1,1,1,1,,1,32,5,2,,2,,3,,3,,4,,15000,1,1
11,3,1,1,1,1,6,,2,30,2,9,,2,,20,,3,,1,,80000,2,1
11,4,1,1,1,1,4,,1,69,4,9999,,2,,20,,6,,1,,30000,5,1
11,5,1,1,11,17,6,,1,33,2,9,,2,,1,,1,,4,,25000,1,11
11,5,1,4,2,2,6,,1,65,2,9,,2,,1,,3,,4,,60000,1,2
11,5,1,2,1,1,2,,1,30,2,9,,2,,1,,3,,4,,50000,1,1
11,5,1,5,1,1,5,"neveu et niece",1,9999,6,9999,,2,,1,,3,,4,,100000,5,1
11,5,1,3,9,18,6,,1,40,4,4,,2,,1,,3,,4,,20000,1,9
11,6,1,,,,,,,,,,,,,,,,,,,,,
11,7,1,,,,,,,,,,,,,,,,,,,,,
11,8,1,1,2,2,2,,1,37,2,9,,1,2,24,"Dubai",3,,1,,60000,5,2
11,10,1,4,1,1,5,"belle soeur",2,67,4,4,,2,,20,,1,,1,,500000,1,1
11,10,1,1,1,1,4,,1,40,4,9999,,2,,20,,2,,1,,500000,5,1
11,10,1,3,1,1,6,,2,40,5,9999,,2,,1,,2,,1,,25000,1,1
11,10,1,2,1,1,5,"cousin",1,45,3,9,,2,,20,,3,,1,,25000,1,1
11,12,1,,,,,,,,,,,,,,,,,,,,,
11,13,1,,,,,,,,,,,,,,,,,,,,,
11,14,1,1,2,2,4,,2,70,2,11,,2,,20,,3,,1,,60000,1,2
11,14,1,2,6,6,1,,1,45,3,9,,2,,1,,3,,6,,30000,1,6
