"grappe","menage","vague","s14aq00","s14aq01","s14aq02","s14aq02a","s14aq02b","s14aq03","s14aq04","s14aq05","s14aq06","s14aq07","s14aq08","s14aq09"
2,1,2,1,7,2,,,,,,,,,
2,1,2,1,6,2,,,,,,,,,
2,1,2,1,9,2,,,,,,,,,
2,1,2,1,4,2,,,,,,,,,
2,1,2,1,8,2,,,,,,,,,
2,1,2,1,5,2,,,,,,,,,
2,1,2,1,3,2,,,,,,,,,
2,1,2,1,1,2,,,,,,,,,
2,1,2,1,2,1,1,1,1,7,,,,2,
2,3,2,2,3,2,,,,,,,,,
2,3,2,2,2,1,1,1,1,2,,,,1,3
2,3,2,2,1,2,,,,,,,,,
2,3,2,2,6,2,,,,,,,,,
2,3,2,2,5,2,,,,,,,,,
2,3,2,2,9,2,,,,,,,,,
2,3,2,2,8,2,,,,,,,,,
2,3,2,2,7,2,,,,,,,,,
2,3,2,2,4,2,,,,,,,,,
2,4,2,1,2,1,2,2,1,4,,,,1,6
2,4,2,1,1,2,,,,,,,,,
2,4,2,1,8,2,,,,,,,,,
2,4,2,1,9,2,,,,,,,,,
2,4,2,1,3,1,1,1,1,1,,,,1,6
2,4,2,1,5,2,,,,,,,,,
2,4,2,1,6,2,,,,,,,,,
2,4,2,1,4,2,,,,,,,,,
2,4,2,1,7,2,,,,,,,,,
2,4,2,1,2,1,2,1,1,1,,,,1,6
2,5,2,2,2,1,1,1,1,2,,,,1,8
2,5,2,2,1,2,,,,,,,,,
2,5,2,2,9,2,,,,,,,,,
2,5,2,2,8,2,,,,,,,,,
2,5,2,2,4,2,,,,,,,,,
2,5,2,2,6,2,,,,,,,,,
2,5,2,2,5,2,,,,,,,,,
2,5,2,2,3,2,,,,,,,,,
2,5,2,2,7,2,,,,,,,,,
2,6,2,1,8,2,,,,,,,,,
2,6,2,1,5,2,,,,,,,,,
2,6,2,1,6,2,,,,,,,,,
2,6,2,1,3,2,,,,,,,,,
2,6,2,1,1,2,,,,,,,,,
2,6,2,1,4,2,,,,,,,,,
2,6,2,1,7,2,,,,,,,,,
2,6,2,1,9,2,,,,,,,,,
