"grappe","menage","vague","s18q14","s18q14_autre","s18q15","s18q15_unite","s18q15_uniteautre","s18q16a","s18q16a_uml","s18q16a_umlautre","s18q16b","s18q16b_uml","s18q16b_umlautre","s18q16c","s18q16c_uml","s18q16c_umlautre","s18q16d","s18q16d_uml","s18q16d_umlautre","s18q17","s18q17_autre","s18q18","s18q18_autre","s18q19","s18q19a__0","s18q19a__1"
2,1,2,,,,,,,,,,,,,,,,,,,,,,,,
2,3,2,,,,,,,,,,,,,,,,,,,,,,,,
2,4,2,,,,,,,,,,,,,,,,,,,,,,,,
2,5,2,,,,,,,,,,,,,,,,,,,,,,,,
2,6,2,,,,,,,,,,,,,,,,,,,,,,,,
2,7,2,,,,,,,,,,,,,,,,,,,,,,,,
2,8,2,,,,,,,,,,,,,,,,,,,,,,,,
2,12,2,,,,,,,,,,,,,,,,,,,,,,,,
2,13,2,,,,,,,,,,,,,,,,,,,,,,,,
2,14,2,,,,,,,,,,,,,,,,,,,,,,,,
2,15,2,,,,,,,,,,,,,,,,,,,,,,,,
2,16,2,,,,,,,,,,,,,,,,,,,,,,,,
3,2,1,,,,,,,,,,,,,,,,,,,,,,,,
3,3,1,,,,,,,,,,,,,,,,,,,,,,,,
3,4,1,,,,,,,,,,,,,,,,,,,,,,,,
3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
3,6,1,,,,,,,,,,,,,,,,,,,,,,,,
3,7,1,,,,,,,,,,,,,,,,,,,,,,,,
3,9,1,,,,,,,,,,,,,,,,,,,,,,,,
3,13,1,,,,,,,,,,,,,,,,,,,,,,,,
3,14,1,,,,,,,,,,,,,,,,,,,,,,,,
3,15,1,,,,,,,,,,,,,,,,,,,,,,,,
3,16,1,,,,,,,,,,,,,,,,,,,,,,,,
3,17,1,,,,,,,,,,,,,,,,,,,,,,,,
4,1,2,,,,,,,,,,,,,,,,,,,,,,,,
4,2,2,,,,,,,,,,,,,,,,,,,,,,,,
4,3,2,,,,,,,,,,,,,,,,,,,,,,,,
4,4,2,,,,,,,,,,,,,,,,,,,,,,,,
4,5,2,,,,,,,,,,,,,,,,,,,,,,,,
4,7,2,,,,,,,,,,,,,,,,,,,,,,,,
4,8,2,,,,,,,,,,,,,,,,,,,,,,,,
4,9,2,,,,,,,,,,,,,,,,,,,,,,,,
4,11,2,,,,,,,,,,,,,,,,,,,,,,,,
4,12,2,,,,,,,,,,,,,,,,,,,,,,,,
4,13,2,,,,,,,,,,,,,,,,,,,,,,,,
5,2,1,,,,,,,,,,,,,,,,,,,,,,,,
5,4,1,,,,,,,,,,,,,,,,,,,,,,,,
5,5,1,,,,,,,,,,,,,,,,,,,,,,,,
5,6,1,,,,,,,,,,,,,,,,,,,,,,,,
5,7,1,,,,,,,,,,,,,,,,,,,,,,,,
5,9,1,,,,,,,,,,,,,,,,,,,,,,,,
5,10,1,,,,,,,,,,,,,,,,,,,,,,,,
5,11,1,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1,1,,60,6,,1,6,,2,6,,0,,,57,6,,1,,2,,3000000,4,
5,12,1,12,,25,6,,3,1,,0,,,0,,,22,6,,1,,2,,2800000,4,
5,12,1,17,,15,6,,3,2,,0,,,0,,,12,6,,1,,2,,2000000,4,
5,12,1,2,,35,6,,10,1,,1,1,,0,,,24,6,,1,,2,,2000000,4,
5,12,1,13,,35,6,,1,6,,1,6,,0,,,33,6,,1,,2,,1500000,4,
5,13,1,,,,,,,,,,,,,,,,,,,,,,,,
5,14,1,,,,,,,,,,,,,,,,,,,,,,,,
5,15,1,,,,,,,,,,,,,,,,,,,,,,,,
6,2,2,,,,,,,,,,,,,,,,,,,,,,,,
6,3,2,,,,,,,,,,,,,,,,,,,,,,,,
6,4,2,,,,,,,,,,,,,,,,,,,,,,,,
6,5,2,,,,,,,,,,,,,,,,,,,,,,,,
6,6,2,,,,,,,,,,,,,,,,,,,,,,,,
6,7,2,,,,,,,,,,,,,,,,,,,,,,,,
6,8,2,,,,,,,,,,,,,,,,,,,,,,,,
6,10,2,,,,,,,,,,,,,,,,,,,,,,,,
6,11,2,,,,,,,,,,,,,,,,,,,,,,,,
6,12,2,,,,,,,,,,,,,,,,,,,,,,,,
6,13,2,,,,,,,,,,,,,,,,,,,,,,,,
6,14,2,,,,,,,,,,,,,,,,,,,,,,,,
7,1,1,,,,,,,,,,,,,,,,,,,,,,,,
7,2,1,,,,,,,,,,,,,,,,,,,,,,,,
7,3,1,,,,,,,,,,,,,,,,,,,,,,,,
7,13,1,,,,,,,,,,,,,,,,,,,,,,,,
7,14,1,,,,,,,,,,,,,,,,,,,,,,,,
7,15,1,,,,,,,,,,,,,,,,,,,,,,,,
7,16,1,,,,,,,,,,,,,,,,,,,,,,,,
7,17,1,,,,,,,,,,,,,,,,,,,,,,,,
8,2,2,,,,,,,,,,,,,,,,,,,,,,,,
8,3,2,,,,,,,,,,,,,,,,,,,,,,,,
8,5,2,,,,,,,,,,,,,,,,,,,,,,,,
8,7,2,,,,,,,,,,,,,,,,,,,,,,,,
8,8,2,,,,,,,,,,,,,,,,,,,,,,,,
8,9,2,,,,,,,,,,,,,,,,,,,,,,,,
8,10,2,,,,,,,,,,,,,,,,,,,,,,,,
8,12,2,,,,,,,,,,,,,,,,,,,,,,,,
8,13,2,,,,,,,,,,,,,,,,,,,,,,,,
8,14,2,,,,,,,,,,,,,,,,,,,,,,,,
8,15,2,,,,,,,,,,,,,,,,,,,,,,,,
8,16,2,,,,,,,,,,,,,,,,,,,,,,,,
9,2,1,,,,,,,,,,,,,,,,,,,,,,,,
9,5,1,,,,,,,,,,,,,,,,,,,,,,,,
9,6,1,,,,,,,,,,,,,,,,,,,,,,,,
9,7,1,,,,,,,,,,,,,,,,,,,,,,,,
9,8,1,,,,,,,,,,,,,,,,,,,,,,,,
9,9,1,,,,,,,,,,,,,,,,,,,,,,,,
9,10,1,,,,,,,,,,,,,,,,,,,,,,,,
9,11,1,,,,,,,,,,,,,,,,,,,,,,,,
9,12,1,,,,,,,,,,,,,,,,,,,,,,,,
9,13,1,,,,,,,,,,,,,,,,,,,,,,,,
9,14,1,,,,,,,,,,,,,,,,,,,,,,,,
9,15,1,,,,,,,,,,,,,,,,,,,,,,,,
10,1,2,,,,,,,,,,,,,,,,,,,,,,,,
10,2,2,,,,,,,,,,,,,,,,,,,,,,,,
10,3,2,,,,,,,,,,,,,,,,,,,,,,,,
10,4,2,,,,,,,,,,,,,,,,,,,,,,,,
10,5,2,,,,,,,,,,,,,,,,,,,,,,,,
10,6,2,,,,,,,,,,,,,,,,,,,,,,,,
10,7,2,,,,,,,,,,,,,,,,,,,,,,,,
10,8,2,,,,,,,,,,,,,,,,,,,,,,,,
10,12,2,,,,,,,,,,,,,,,,,,,,,,,,
10,13,2,,,,,,,,,,,,,,,,,,,,,,,,
10,14,2,,,,,,,,,,,,,,,,,,,,,,,,
10,15,2,,,,,,,,,,,,,,,,,,,,,,,,
11,3,1,,,,,,,,,,,,,,,,,,,,,,,,
11,4,1,,,,,,,,,,,,,,,,,,,,,,,,
11,5,1,,,,,,,,,,,,,,,,,,,,,,,,
11,6,1,,,,,,,,,,,,,,,,,,,,,,,,
11,7,1,,,,,,,,,,,,,,,,,,,,,,,,
11,8,1,,,,,,,,,,,,,,,,,,,,,,,,
11,10,1,,,,,,,,,,,,,,,,,,,,,,,,
11,12,1,,,,,,,,,,,,,,,,,,,,,,,,
11,13,1,,,,,,,,,,,,,,,,,,,,,,,,
11,14,1,,,,,,,,,,,,,,,,,,,,,,,,
11,15,1,,,,,,,,,,,,,,,,,,,,,,,,
12,1,2,,,,,,,,,,,,,,,,,,,,,,,,
12,2,2,,,,,,,,,,,,,,,,,,,,,,,,
12,3,2,,,,,,,,,,,,,,,,,,,,,,,,
12,5,2,,,,,,,,,,,,,,,,,,,,,,,,
12,6,2,,,,,,,,,,,,,,,,,,,,,,,,
12,7,2,,,,,,,,,,,,,,,,,,,,,,,,
12,8,2,,,,,,,,,,,,,,,,,,,,,,,,
12,9,2,,,,,,,,,,,,,,,,,,,,,,,,
12,11,2,,,,,,,,,,,,,,,,,,,,,,,,
12,13,2,,,,,,,,,,,,,,,,,,,,,,,,
12,14,2,,,,,,,,,,,,,,,,,,,,,,,,
12,15,2,,,,,,,,,,,,,,,,,,,,,,,,
13,1,1,,,,,,,,,,,,,,,,,,,,,,,,
13,3,1,,,,,,,,,,,,,,,,,,,,,,,,
13,6,1,,,,,,,,,,,,,,,,,,,,,,,,
13,7,1,,,,,,,,,,,,,,,,,,,,,,,,
13,8,1,,,,,,,,,,,,,,,,,,,,,,,,
13,10,1,,,,,,,,,,,,,,,,,,,,,,,,
13,11,1,,,,,,,,,,,,,,,,,,,,,,,,
13,12,1,,,,,,,,,,,,,,,,,,,,,,,,
13,13,1,,,,,,,,,,,,,,,,,,,,,,,,
13,14,1,,,,,,,,,,,,,,,,,,,,,,,,
13,15,1,,,,,,,,,,,,,,,,,,,,,,,,
13,16,1,,,,,,,,,,,,,,,,,,,,,,,,
14,1,2,,,,,,,,,,,,,,,,,,,,,,,,
14,2,2,,,,,,,,,,,,,,,,,,,,,,,,
14,3,2,,,,,,,,,,,,,,,,,,,,,,,,
14,4,2,,,,,,,,,,,,,,,,,,,,,,,,
14,5,2,,,,,,,,,,,,,,,,,,,,,,,,
14,6,2,,,,,,,,,,,,,,,,,,,,,,,,
14,7,2,,,,,,,,,,,,,,,,,,,,,,,,
14,8,2,34,,20,7,"caisse",1,7,"caisse",1,7,"caisse",0,,,18,7,"caisse",1,,2,,90000,4,
14,8,2,6,,15,7,"caisse",1,7,"caisse",0,,,0,,,14,7,"caisse",1,,2,,100000,4,
14,8,2,8,,10,7,"caisse",1,7,"caisse",0,,,0,,,9,7,"caisse",1,,2,,108000,4,
14,9,2,8,,150,6,,1,6,,35,6,,0,,,64,6,,1,,2,,800000,1,
14,9,2,1,,100,6,,1,6,,20,6,,0,,,79,6,,1,,2,,700000,1,
14,10,2,,,,,,,,,,,,,,,,,,,,,,,,
14,11,2,,,,,,,,,,,,,,,,,,,,,,,,
14,12,2,,,,,,,,,,,,,,,,,,,,,,,,
15,1,1,,,,,,,,,,,,,,,,,,,,,,,,
15,2,1,,,,,,,,,,,,,,,,,,,,,,,,
15,3,1,,,,,,,,,,,,,,,,,,,,,,,,
15,5,1,,,,,,,,,,,,,,,,,,,,,,,,
15,6,1,,,,,,,,,,,,,,,,,,,,,,,,
15,7,1,,,,,,,,,,,,,,,,,,,,,,,,
15,8,1,,,,,,,,,,,,,,,,,,,,,,,,
15,9,1,,,,,,,,,,,,,,,,,,,,,,,,
15,12,1,,,,,,,,,,,,,,,,,,,,,,,,
15,13,1,,,,,,,,,,,,,,,,,,,,,,,,
15,14,1,,,,,,,,,,,,,,,,,,,,,,,,
15,15,1,,,,,,,,,,,,,,,,,,,,,,,,
16,1,2,,,,,,,,,,,,,,,,,,,,,,,,
16,2,2,,,,,,,,,,,,,,,,,,,,,,,,
16,3,2,,,,,,,,,,,,,,,,,,,,,,,,
16,4,2,,,,,,,,,,,,,,,,,,,,,,,,
16,5,2,,,,,,,,,,,,,,,,,,,,,,,,
16,6,2,,,,,,,,,,,,,,,,,,,,,,,,
16,7,2,,,,,,,,,,,,,,,,,,,,,,,,
16,8,2,,,,,,,,,,,,,,,,,,,,,,,,
16,9,2,,,,,,,,,,,,,,,,,,,,,,,,
16,10,2,,,,,,,,,,,,,,,,,,,,,,,,
16,11,2,,,,,,,,,,,,,,,,,,,,,,,,
16,12,2,,,,,,,,,,,,,,,,,,,,,,,,
17,1,1,,,,,,,,,,,,,,,,,,,,,,,,
17,2,1,,,,,,,,,,,,,,,,,,,,,,,,
17,4,1,,,,,,,,,,,,,,,,,,,,,,,,
17,5,1,,,,,,,,,,,,,,,,,,,,,,,,
17,6,1,,,,,,,,,,,,,,,,,,,,,,,,
17,7,1,,,,,,,,,,,,,,,,,,,,,,,,
17,8,1,,,,,,,,,,,,,,,,,,,,,,,,
17,10,1,,,,,,,,,,,,,,,,,,,,,,,,
17,12,1,,,,,,,,,,,,,,,,,,,,,,,,
17,13,1,,,,,,,,,,,,,,,,,,,,,,,,
17,14,1,,,,,,,,,,,,,,,,,,,,,,,,
17,15,1,,,,,,,,,,,,,,,,,,,,,,,,
18,1,2,,,,,,,,,,,,,,,,,,,,,,,,
18,2,2,,,,,,,,,,,,,,,,,,,,,,,,
18,3,2,,,,,,,,,,,,,,,,,,,,,,,,
18,4,2,,,,,,,,,,,,,,,,,,,,,,,,
18,5,2,,,,,,,,,,,,,,,,,,,,,,,,
18,6,2,,,,,,,,,,,,,,,,,,,,,,,,
18,7,2,,,,,,,,,,,,,,,,,,,,,,,,
