"grappe","menage","vague","s20bq02","s20bq02a","s20bq02b"
2,1,2,6,1,1
2,1,2,9,1,2
2,1,2,8,1,2
2,1,2,5,1,3
2,1,2,4,1,1
2,1,2,1,1,1
2,1,2,7,1,1
2,1,2,3,1,4
2,1,2,2,1,1
2,3,2,2,1,3
2,3,2,4,1,2
2,3,2,6,1,2
2,3,2,5,1,3
2,3,2,8,1,3
2,3,2,7,1,1
2,3,2,1,1,3
2,3,2,3,1,4
2,3,2,9,1,3
2,4,2,6,1,2
2,4,2,2,1,3
2,4,2,4,1,2
2,4,2,3,1,3
2,4,2,5,1,3
2,4,2,9,1,2
2,4,2,7,1,2
2,4,2,8,1,2
2,4,2,1,1,2
2,5,2,3,1,3
2,5,2,1,1,2
2,5,2,2,1,3
2,5,2,8,1,2
2,5,2,4,1,2
2,5,2,7,1,1
2,5,2,6,1,2
2,5,2,5,2,3
2,5,2,9,1,3
2,6,2,4,1,2
2,6,2,5,1,2
2,6,2,6,1,1
2,6,2,7,1,1
2,6,2,2,1,2
2,6,2,9,1,4
2,6,2,8,1,1
2,6,2,1,1,3
2,6,2,3,1,3
2,7,2,3,1,3
2,7,2,5,2,3
2,7,2,4,2,4
2,7,2,2,1,2
2,7,2,1,1,1
2,7,2,8,2,4
2,7,2,9,1,2
2,7,2,6,2,2
2,7,2,7,1,1
2,8,2,1,1,2
2,8,2,8,2,3
2,8,2,9,2,3
2,8,2,3,1,3
2,8,2,2,1,1
2,8,2,6,2,3
2,8,2,5,1,2
2,8,2,7,1,2
2,8,2,4,2,3
2,12,2,7,1,1
2,12,2,5,1,3
2,12,2,4,1,1
2,12,2,2,1,2
2,12,2,9,1,1
2,12,2,8,2,2
2,12,2,1,1,3
2,12,2,3,1,2
2,12,2,6,1,1
2,13,2,7,2,3
2,13,2,4,1,2
2,13,2,8,2,4
2,13,2,2,1,1
2,13,2,3,1,1
2,13,2,5,1,1
2,13,2,1,1,1
2,13,2,6,1,3
2,13,2,9,1,2
2,14,2,6,1,2
2,14,2,9,1,4
2,14,2,2,1,4
2,14,2,1,1,2
2,14,2,8,1,1
2,14,2,3,1,2
2,14,2,5,1,2
2,14,2,4,1,2
2,14,2,7,1,2
2,15,2,8,1,1
2,15,2,4,1,2
2,15,2,2,1,2
2,15,2,3,1,3
2,15,2,6,1,1
2,15,2,1,1,3
2,15,2,5,1,2
2,15,2,9,1,2
2,15,2,7,1,1
2,16,2,9,1,2
2,16,2,2,1,3
2,16,2,1,1,2
2,16,2,5,1,3
2,16,2,6,1,2
2,16,2,3,1,3
2,16,2,4,1,1
2,16,2,7,1,1
2,16,2,8,1,2
3,2,1,3,1,3
3,2,1,4,1,1
3,2,1,1,1,2
3,2,1,6,1,1
3,2,1,9,1,1
3,2,1,7,1,1
3,2,1,5,1,1
3,2,1,2,1,2
3,2,1,8,1,1
3,3,1,6,2,2
3,3,1,4,1,1
3,3,1,7,1,1
3,3,1,9,1,3
3,3,1,1,1,3
3,3,1,2,1,3
3,3,1,3,1,4
3,3,1,8,1,2
3,3,1,5,1,2
3,4,1,1,1,4
3,4,1,4,1,1
3,4,1,7,1,1
3,4,1,5,1,2
3,4,1,8,1,1
3,4,1,2,1,2
3,4,1,3,1,2
