"grappe","menage","vague","s20cq01","s20cq02","s20cq03","s20cq04","s20cq04_autre","s20cq05","s20cq06","s20cq06_autre","s20cq07a","s20cq07b","s20cq07c","s20cq07d"
2,1,2,4,2,,,,,,,4,4,3,3
2,3,2,3,2,,,,,,,3,3,4,4
2,4,2,4,2,,,,,,,3,3,3,3
2,5,2,3,2,,,,,,,3,3,3,4
2,6,2,3,2,,,,,,,3,3,3,3
2,7,2,2,2,,,,,,,3,3,3,3
2,8,2,2,2,,,,,,,3,3,3,3
2,12,2,4,2,,,,,,,3,3,4,3
2,13,2,2,2,,,,,,,2,2,4,4
2,14,2,2,2,,,,,,,3,3,3,3
2,15,2,1,2,,,,,,,4,4,4,4
2,16,2,3,2,,,,,,,3,3,4,4
3,2,1,2,2,,,,,,,1,1,2,2
3,3,1,2,2,,,,,,,3,3,4,4
3,4,1,2,2,,,,,,,2,2,2,3
3,5,1,3,2,,,,,,,4,2,4,4
3,6,1,2,2,,,,,,,1,1,2,2
3,7,1,4,1,1,3,,2,1,,2,2,3,3
3,9,1,2,2,,,,,,,3,3,3,3
3,13,1,1,2,,,,,,,3,3,3,3
3,14,1,2,2,,,,,,,3,3,3,3
3,15,1,2,2,,,,,,,2,2,2,2
3,16,1,3,2,,,,,,,3,3,4,4
3,17,1,2,2,,,,,,,2,2,2,2
4,1,2,3,2,,,,,,,3,3,3,3
4,2,2,2,2,,,,,,,3,3,3,3
4,3,2,3,1,1,3,,2,4,,3,3,3,3
4,4,2,3,2,,,,,,,3,3,4,4
4,5,2,3,2,,,,,,,3,3,4,3
4,7,2,2,2,,,,,,,3,3,3,3
4,8,2,3,2,,,,,,,3,3,4,4
4,9,2,1,2,,,,,,,3,3,3,3
4,11,2,2,2,,,,,,,2,2,2,2
4,12,2,2,2,,,,,,,3,3,4,4
4,13,2,3,2,,,,,,,3,3,4,4
5,2,1,3,2,,,,,,,1,1,2,2
5,4,1,3,2,,,,,,,3,3,4,4
5,5,1,2,2,,,,,,,3,3,3,3
5,6,1,3,2,,,,,,,2,2,2,2
5,7,1,2,2,,,,,,,4,3,3,3
5,9,1,3,2,,,,,,,3,3,4,4
5,10,1,1,2,,,,,,,1,1,1,1
5,11,1,3,2,,,,,,,3,3,4,4
5,12,1,2,2,,,,,,,1,1,2,2
5,13,1,3,2,,,,,,,3,3,4,4
5,14,1,3,2,,,,,,,3,3,3,3
5,15,1,2,2,,,,,,,4,4,4,3
6,2,2,2,2,,,,,,,3,3,3,3
6,3,2,2,2,,,,,,,3,3,3,3
6,4,2,2,2,,,,,,,3,3,3,3
6,5,2,4,2,,,,,,,3,3,4,4
6,6,2,4,2,,,,,,,4,4,4,4
6,7,2,4,1,1,2,,2,3,,3,3,4,4
6,8,2,1,2,,,,,,,3,3,3,3
6,10,2,1,2,,,,,,,3,3,4,4
6,11,2,3,2,,,,,,,3,4,4,3
6,12,2,4,2,,,,,,,4,4,4,4
6,13,2,3,2,,,,,,,3,3,4,4
6,14,2,4,2,,,,,,,4,4,4,4
7,1,1,4,2,,,,,,,3,3,4,5
7,2,1,1,2,,,,,,,1,1,5,5
7,3,1,3,1,1,3,,1,,,4,4,4,4
7,13,1,3,2,,,,,,,3,3,3,3
7,14,1,3,2,,,,,,,4,4,4,5
7,15,1,2,2,,,,,,,2,2,2,2
7,16,1,2,2,,,,,,,3,3,3,3
7,17,1,1,2,,,,,,,1,1,1,1
8,2,2,4,2,,,,,,,4,4,4,4
8,3,2,5,2,,,,,,,3,3,4,4
8,5,2,4,2,,,,,,,3,3,4,4
8,7,2,3,2,,,,,,,3,2,5,5
8,8,2,3,2,,,,,,,4,3,4,4
8,9,2,3,2,,,,,,,4,4,5,2
8,10,2,3,2,,,,,,,3,3,3,3
8,12,2,4,2,,,,,,,3,3,4,4
8,13,2,3,2,,,,,,,3,3,4,4
8,14,2,1,2,,,,,,,3,3,3,4
8,15,2,2,2,,,,,,,3,3,3,3
8,16,2,2,2,,,,,,,2,3,4,5
9,2,1,3,1,1,3,,2,1,,3,3,3,4
9,5,1,3,2,,,,,,,3,2,3,4
9,6,1,4,1,1,3,,2,1,,3,3,3,5
9,7,1,3,2,,,,,,,3,3,2,3
9,8,1,4,2,,,,,,,4,2,4,4
9,9,1,4,2,,,,,,,2,2,2,3
9,10,1,3,2,,,,,,,3,3,4,4
9,11,1,3,2,,,,,,,3,3,3,3
9,12,1,4,2,,,,,,,4,4,4,4
9,13,1,3,1,1,3,,2,1,,1,1,1,1
9,14,1,4,2,,,,,,,3,3,3,3
9,15,1,3,2,,,,,,,3,3,3,4
10,1,2,2,2,,,,,,,3,3,3,3
10,2,2,3,2,,,,,,,2,2,4,4
10,3,2,4,2,,,,,,,3,3,3,3
